           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.233922   -0.000000        4.740782       -2.609581    0.000000    0.000000    0.000000    6.256357
    0.000500    0.003128   -1.566936   -1.233922   -0.002658        4.740782       -2.609581    0.000031    0.000000    0.000000    6.256357
    0.001000    0.006256   -1.563076   -1.233922   -0.005316        4.740782       -2.609581    0.000123    0.000000    0.000000    6.256357
    0.001500    0.009384   -1.559217   -1.233922   -0.007973        4.740782       -2.609581    0.000277    0.000000    0.000000    6.256357
    0.002000    0.012512   -1.555357   -1.233922   -0.010631        4.740782       -2.609581    0.000492    0.000000    0.000000    6.256357
    0.002500    0.015640   -1.551497   -1.233922   -0.013289        4.740782       -2.609581    0.000769    0.000000    0.000000    6.256357
    0.003000    0.018767   -1.547637   -1.233922   -0.015947        4.740782       -2.609581    0.001107    0.000000    0.000000    6.256357
    0.003500    0.021895   -1.543777   -1.233889   -0.018605        4.740782       -2.609581    0.001506    0.000000    0.000000    6.256357
    0.004000    0.025021   -1.539917   -1.233834   -0.021263        4.740782       -2.609581    0.001967    0.000000    0.000000    6.256357
    0.004500    0.028148   -1.536058   -1.233776   -0.023920        4.740782       -2.609581    0.002490    0.000001    0.000000    6.256357
    0.005000    0.031274   -1.532198   -1.233712   -0.026578        4.740782       -2.609581    0.003074    0.000001    0.000000    6.256357
    0.005500    0.034400   -1.528339   -1.233644   -0.029235        4.740782       -2.609581    0.003719    0.000001    0.000000    6.256357
    0.006000    0.037525   -1.524480   -1.233570   -0.031891        4.740782       -2.609581    0.004426    0.000002    0.000000    6.256357
    0.006500    0.040649   -1.520621   -1.233490   -0.034547        4.740782       -2.609581    0.005194    0.000003    0.000000    6.256357
    0.007000    0.043773   -1.516763   -1.233405   -0.037203        4.740782       -2.609581    0.006024    0.000004    0.000000    6.256357
    0.007500    0.046896   -1.512905   -1.233313   -0.039858        4.740782       -2.609581    0.006915    0.000005    0.000000    6.256357
    0.008000    0.050019   -1.509047   -1.233215   -0.042513        4.740782       -2.609581    0.007867    0.000006    0.000000    6.256357
    0.008500    0.053141   -1.505189   -1.233112   -0.045168        4.740782       -2.609581    0.008881    0.000008    0.000000    6.256357
    0.009000    0.056262   -1.501332   -1.233002   -0.047821        4.740782       -2.609581    0.009956    0.000010    0.000000    6.256357
    0.009500    0.059382   -1.497475   -1.232886   -0.050475        4.740782       -2.609581    0.011093    0.000012    0.000000    6.256357
    0.010000    0.062501   -1.493619   -1.232764   -0.053127        4.740782       -2.609581    0.012291    0.000015    0.000000    6.256357
    0.010500    0.065620   -1.489763   -1.232636   -0.055779        4.740782       -2.609581    0.013550    0.000018    0.000000    6.256357
    0.011000    0.068737   -1.485907   -1.232501   -0.058431        4.740782       -2.609581    0.014870    0.000022    0.000000    6.256357
