           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.255399    0.000000        4.593026       -2.654162   -0.000000    0.000000    0.000000    5.251217
    0.000500    0.002626   -1.567500   -1.255399   -0.002719        4.593026       -2.654162    0.000022    0.000000    0.000000    5.251217
    0.001000    0.005251   -1.564204   -1.255399   -0.005438        4.593026       -2.654162    0.000087    0.000000    0.000000    5.251217
    0.001500    0.007877   -1.560908   -1.255399   -0.008157        4.593026       -2.654162    0.000195    0.000000    0.000000    5.251217
    0.002000    0.010502   -1.557612   -1.255399   -0.010875        4.593026       -2.654162    0.000347    0.000000    0.000000    5.251217
    0.002500    0.013127   -1.554315   -1.255399   -0.013594        4.593026       -2.654162    0.000541    0.000000    0.000000    5.251217
    0.003000    0.015753   -1.551019   -1.255399   -0.016313        4.593026       -2.654162    0.000780    0.000000    0.000000    5.251217
    0.003500    0.018378   -1.547723   -1.255399   -0.019032        4.593026       -2.654162    0.001061    0.000000    0.000000    5.251217
    0.004000    0.021002   -1.544427   -1.255379   -0.021751        4.593026       -2.654162    0.001386    0.000000    0.000000    5.251217
    0.004500    0.023627   -1.541131   -1.255324   -0.024470        4.593026       -2.654162    0.001754    0.000000    0.000000    5.251217
    0.005000    0.026251   -1.537835   -1.255266   -0.027189        4.593026       -2.654162    0.002166    0.000000    0.000000    5.251217
    0.005500    0.028875   -1.534539   -1.255204   -0.029908        4.593026       -2.654162    0.002620    0.000001    0.000000    5.251217
    0.006000    0.031499   -1.531244   -1.255139   -0.032626        4.593026       -2.654162    0.003118    0.000001    0.000000    5.251217
    0.006500    0.034122   -1.527948   -1.255069   -0.035344        4.593026       -2.654162    0.003660    0.000001    0.000000    5.251217
    0.007000    0.036745   -1.524653   -1.254994   -0.038062        4.593026       -2.654162    0.004244    0.000002    0.000000    5.251217
    0.007500    0.039368   -1.521358   -1.254914   -0.040779        4.593026       -2.654162    0.004872    0.000002    0.000000    5.251217
    0.008000    0.041990   -1.518063   -1.254830   -0.043496        4.593026       -2.654162    0.005543    0.000003    0.000000    5.251217
    0.008500    0.044612   -1.514768   -1.254740   -0.046213        4.593026       -2.654162    0.006257    0.000004    0.000000    5.251217
    0.009000    0.047233   -1.511474   -1.254645   -0.048929        4.593026       -2.654162    0.007015    0.000005    0.000000    5.251217
    0.009500    0.049854   -1.508180   -1.254545   -0.051645        4.593026       -2.654162    0.007816    0.000006    0.000000    5.251217
    0.010000    0.052474   -1.504886   -1.254440   -0.054360        4.593026       -2.654162    0.008660    0.000007    0.000000    5.251217
    0.010500    0.055094   -1.501593   -1.254329   -0.057075        4.593026       -2.654162    0.009547    0.000009    0.000000    5.251217
    0.011000    0.057713   -1.498300   -1.254214   -0.059790        4.593026       -2.654162    0.010478    0.000011    0.000000    5.251217
    0.011500    0.060331   -1.495007   -1.254093   -0.062504        4.593026       -2.654162    0.011451    0.000013    0.000000    5.251217
    0.012000    0.062949   -1.491714   -1.253966   -0.065217        4.593026       -2.654162    0.012468    0.000016    0.000000    5.251217
    0.012500    0.065566   -1.488422   -1.253835   -0.067930        4.593026       -2.654162    0.013528    0.000018    0.000000    5.251217
    0.013000    0.068182   -1.485130   -1.253698   -0.070642        4.593026       -2.654162    0.014632    0.000021    0.000000    5.251217
    0.013500    0.070798   -1.481838   -1.253556   -0.073354        4.593026       -2.654162    0.015778    0.000025    0.000000    5.251217
    0.014000    0.073413   -1.478547   -1.253408   -0.076065        4.593026       -2.654162    0.016967    0.000029    0.000000    5.251217
    0.014500    0.076027   -1.475256   -1.253256   -0.078776        4.593026       -2.654162    0.018200    0.000033    0.000000    5.251217
    0.015000    0.078640   -1.471966   -1.253097   -0.081485        4.593026       -2.654162    0.019476    0.000038    0.000000    5.251217
    0.015500    0.081252   -1.468676   -1.252934   -0.084195        4.593026       -2.654162    0.020795    0.000043    0.000000    5.251217
    0.016000    0.083864   -1.465387   -1.252765   -0.086903        4.593026       -2.654162    0.022157    0.000049    0.000000    5.251217
    0.016500    0.086474   -1.462098   -1.252591   -0.089611        4.593026       -2.654162    0.023562    0.000055    0.000000    5.251217
    0.017000    0.089084   -1.458809   -1.252412   -0.092318        4.593026       -2.654162    0.025010    0.000062    0.000000    5.251217
    0.017500    0.091693   -1.455521   -1.252227   -0.095024        4.593026       -2.654162    0.026501    0.000070    0.000000    5.251217
    0.018000    0.094300   -1.452233   -1.252037   -0.097729        4.593026       -2.654162    0.028035    0.000078    0.000000    5.251217
    0.018500    0.096907   -1.448946   -1.251841   -0.100434        4.593026       -2.654162    0.029613    0.000087    0.000000    5.251217
    0.019000    0.099513   -1.445660   -1.251641   -0.103138        4.593026       -2.654162    0.031233    0.000097    0.000000    5.251217
    0.019500    0.102117   -1.442374   -1.251435   -0.105841        4.593026       -2.654162    0.032896    0.000108    0.000000    5.251217
    0.020000    0.104721   -1.439088   -1.251223   -0.108543        4.593026       -2.654162    0.034602    0.000119    0.000000    5.251217
    0.020500    0.107323   -1.435803   -1.251007   -0.111244        4.593026       -2.654162    0.036351    0.000132    0.000000    5.251217
    0.021000    0.109924   -1.432519   -1.250784   -0.113944        4.593026       -2.654162    0.038143    0.000145    0.000000    5.251217
    0.021500    0.112524   -1.429235   -1.250557   -0.116643        4.593026       -2.654162    0.039978    0.000159    0.000000    5.251217
    0.022000    0.115123   -1.425952   -1.250324   -0.119342        4.593026       -2.654162    0.041856    0.000174    0.000000    5.251217
    0.022500    0.117720   -1.422669   -1.250086   -0.122039        4.593026       -2.654162    0.043776    0.000191    0.000000    5.251217
    0.023000    0.120317   -1.419387   -1.249843   -0.124735        4.593026       -2.654162    0.045740    0.000208    0.000000    5.251217
