           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.257991   -0.000000        5.029235       -2.935749    0.000000   -0.000000    0.000000    4.808194
    0.000500    0.002404   -1.567772   -1.257991   -0.002833        5.029235       -2.935749    0.000018    0.000000    0.000000    4.808194
    0.001000    0.004808   -1.564748   -1.257991   -0.005667        5.029235       -2.935749    0.000073    0.000000    0.000000    4.808194
    0.001500    0.007212   -1.561723   -1.257991   -0.008500        5.029235       -2.935749    0.000163    0.000000    0.000000    4.808194
    0.002000    0.009616   -1.558699   -1.257991   -0.011333        5.029235       -2.935749    0.000291    0.000000    0.000000    4.808194
    0.002500    0.012020   -1.555675   -1.257991   -0.014166        5.029235       -2.935749    0.000454    0.000000    0.000000    4.808194
    0.003000    0.014424   -1.552650   -1.257991   -0.017000        5.029235       -2.935749    0.000654    0.000000    0.000000    4.808194
    0.003500    0.016827   -1.549626   -1.257991   -0.019833        5.029235       -2.935749    0.000890    0.000000    0.000000    4.808194
    0.004000    0.019231   -1.546602   -1.257991   -0.022666        5.029235       -2.935749    0.001162    0.000000    0.000000    4.808194
    0.004500    0.021634   -1.543577   -1.257952   -0.025500        5.029235       -2.935749    0.001471    0.000000    0.000000    4.808194
    0.005000    0.024037   -1.540553   -1.257894   -0.028333        5.029235       -2.935749    0.001816    0.000000    0.000000    4.808194
    0.005500    0.026440   -1.537529   -1.257833   -0.031167        5.029235       -2.935749    0.002197    0.000000    0.000000    4.808194
    0.006000    0.028843   -1.534505   -1.257769   -0.034000        5.029235       -2.935749    0.002614    0.000001    0.000000    4.808194
    0.006500    0.031245   -1.531482   -1.257701   -0.036832        5.029235       -2.935749    0.003068    0.000001    0.000000    4.808194
    0.007000    0.033647   -1.528458   -1.257629   -0.039664        5.029235       -2.935749    0.003558    0.000001    0.000000    4.808194
    0.007500    0.036049   -1.525435   -1.257552   -0.042496        5.029235       -2.935749    0.004085    0.000002    0.000000    4.808194
    0.008000    0.038451   -1.522411   -1.257471   -0.045328        5.029235       -2.935749    0.004647    0.000002    0.000000    4.808194
