           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.361632   -0.000000        8.168078       -4.284820    0.000000    0.000000    0.000000    3.862943
    0.000500    0.001931   -1.568166   -1.361632   -0.003381        8.168078       -4.284820    0.000012    0.000000    0.000000    3.862943
    0.001000    0.003863   -1.565536   -1.361632   -0.006761        8.168078       -4.284820    0.000047    0.000000    0.000000    3.862943
    0.001500    0.005794   -1.562906   -1.361632   -0.010142        8.168078       -4.284820    0.000105    0.000000    0.000000    3.862943
    0.002000    0.007726   -1.560277   -1.361632   -0.013523        8.168078       -4.284820    0.000188    0.000000    0.000000    3.862943
    0.002500    0.009657   -1.557647   -1.361632   -0.016903        8.168078       -4.284820    0.000293    0.000000    0.000000    3.862943
    0.003000    0.011588   -1.555017   -1.361632   -0.020284        8.168078       -4.284820    0.000422    0.000000    0.000000    3.862943
    0.003500    0.013520   -1.552387   -1.361632   -0.023665        8.168078       -4.284820    0.000574    0.000000    0.000000    3.862943
    0.004000    0.015451   -1.549757   -1.361632   -0.027045        8.168078       -4.284820    0.000750    0.000000    0.000000    3.862943
    0.004500    0.017382   -1.547127   -1.361632   -0.030426        8.168078       -4.284820    0.000949    0.000000    0.000000    3.862943
    0.005000    0.019312   -1.544497   -1.361632   -0.033807        8.168078       -4.284820    0.001172    0.000000    0.000000    3.862943
    0.005500    0.021243   -1.541867   -1.361589   -0.037188        8.168078       -4.284820    0.001418    0.000000    0.000000    3.862943
    0.006000    0.023174   -1.539237   -1.361520   -0.040569        8.168078       -4.284820    0.001688    0.000000    0.000000    3.862943
    0.006500    0.025104   -1.536607   -1.361449   -0.043949        8.168078       -4.284820    0.001980    0.000000    0.000000    3.862943
    0.007000    0.027034   -1.533978   -1.361376   -0.047329        8.168078       -4.284820    0.002297    0.000001    0.000000    3.862943
    0.007500    0.028965   -1.531348   -1.361298   -0.050709        8.168078       -4.284820    0.002637    0.000001    0.000000    3.862943
    0.008000    0.030894   -1.528719   -1.361217   -0.054088        8.168078       -4.284820    0.003000    0.000001    0.000000    3.862943
    0.008500    0.032824   -1.526090   -1.361132   -0.057467        8.168078       -4.284820    0.003387    0.000001    0.000000    3.862943
    0.009000    0.034754   -1.523461   -1.361043   -0.060845        8.168078       -4.284820    0.003797    0.000002    0.000000    3.862943
    0.009500    0.036683   -1.520833   -1.360950   -0.064222        8.168078       -4.284820    0.004230    0.000002    0.000000    3.862943
    0.010000    0.038612   -1.518204   -1.360852   -0.067599        8.168078       -4.284820    0.004687    0.000002    0.000000    3.862943
    0.010500    0.040540   -1.515576   -1.360749   -0.070975        8.168078       -4.284820    0.005167    0.000003    0.000000    3.862943
    0.011000    0.042469   -1.512948   -1.360642   -0.074351        8.168078       -4.284820    0.005671    0.000003    0.000000    3.862943
    0.011500    0.044397   -1.510320   -1.360530   -0.077726        8.168078       -4.284820    0.006198    0.000004    0.000000    3.862943
    0.012000    0.046325   -1.507692   -1.360413   -0.081100        8.168078       -4.284820    0.006748    0.000005    0.000000    3.862943
    0.012500    0.048252   -1.505064   -1.360292   -0.084474        8.168078       -4.284820    0.007322    0.000006    0.000000    3.862943
    0.013000    0.050179   -1.502437   -1.360166   -0.087847        8.168078       -4.284820    0.007920    0.000007    0.000000    3.862943
    0.013500    0.052106   -1.499810   -1.360036   -0.091219        8.168078       -4.284820    0.008540    0.000008    0.000000    3.862943
