           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000   -0.000000   -1.570796   -1.286502    0.000000        5.423856       -3.095680   -0.000000    0.000000    0.000000    4.673695
    0.000500    0.002337   -1.567790   -1.286502   -0.002969        5.423856       -3.095680    0.000017    0.000000    0.000000    4.673695
    0.001000    0.004674   -1.564784   -1.286502   -0.005939        5.423856       -3.095680    0.000069    0.000000    0.000000    4.673695
    0.001500    0.007010   -1.561777   -1.286502   -0.008908        5.423856       -3.095680    0.000154    0.000000    0.000000    4.673695
    0.002000    0.009347   -1.558771   -1.286502   -0.011877        5.423856       -3.095680    0.000274    0.000000    0.000000    4.673695
    0.002500    0.011684   -1.555765   -1.286502   -0.014847        5.423856       -3.095680    0.000429    0.000000    0.000000    4.673695
    0.003000    0.014020   -1.552758   -1.286502   -0.017816        5.423856       -3.095680    0.000618    0.000000    0.000000    4.673695
    0.003500    0.016357   -1.549752   -1.286502   -0.020786        5.423856       -3.095680    0.000841    0.000000    0.000000    4.673695
    0.004000    0.018693   -1.546745   -1.286502   -0.023755        5.423856       -3.095680    0.001098    0.000000    0.000000    4.673695
    0.004500    0.021029   -1.543739   -1.286476   -0.026725        5.423856       -3.095680    0.001390    0.000000    0.000000    4.673695
    0.005000    0.023365   -1.540733   -1.286416   -0.029694        5.423856       -3.095680    0.001715    0.000000    0.000000    4.673695
    0.005500    0.025701   -1.537727   -1.286353   -0.032664        5.423856       -3.095680    0.002076    0.000000    0.000000    4.673695
    0.006000    0.028036   -1.534721   -1.286287   -0.035633        5.423856       -3.095680    0.002470    0.000001    0.000000    4.673695
    0.006500    0.030371   -1.531715   -1.286217   -0.038601        5.423856       -3.095680    0.002899    0.000001    0.000000    4.673695
    0.007000    0.032706   -1.528709   -1.286143   -0.041570        5.423856       -3.095680    0.003362    0.000001    0.000000    4.673695
    0.007500    0.035041   -1.525704   -1.286064   -0.044538        5.423856       -3.095680    0.003859    0.000002    0.000000    4.673695
    0.008000    0.037375   -1.522699   -1.285981   -0.047505        5.423856       -3.095680    0.004391    0.000002    0.000000    4.673695
    0.008500    0.039709   -1.519694   -1.285893   -0.050472        5.423856       -3.095680    0.004957    0.000003    0.000000    4.673695
    0.009000    0.042043   -1.516689   -1.285801   -0.053439        5.423856       -3.095680    0.005557    0.000003    0.000000    4.673695
    0.009500    0.044376   -1.513684   -1.285703   -0.056405        5.423856       -3.095680    0.006192    0.000004    0.000000    4.673695
    0.010000    0.046709   -1.510680   -1.285600   -0.059371        5.423856       -3.095680    0.006860    0.000005    0.000000    4.673695
    0.010500    0.049041   -1.507676   -1.285492   -0.062336        5.423856       -3.095680    0.007563    0.000006    0.000000    4.673695
    0.011000    0.051373   -1.504672   -1.285379   -0.065301        5.423856       -3.095680    0.008300    0.000007    0.000000    4.673695
    0.011500    0.053705   -1.501668   -1.285262   -0.068265        5.423856       -3.095680    0.009072    0.000008    0.000000    4.673695
    0.012000    0.056036   -1.498665   -1.285139   -0.071229        5.423856       -3.095680    0.009877    0.000010    0.000000    4.673695
    0.012500    0.058366   -1.495662   -1.285010   -0.074192        5.423856       -3.095680    0.010717    0.000012    0.000000    4.673695
    0.013000    0.060696   -1.492659   -1.284877   -0.077155        5.423856       -3.095680    0.011591    0.000014    0.000000    4.673695
    0.013500    0.063026   -1.489657   -1.284739   -0.080117        5.423856       -3.095680    0.012500    0.000016    0.000000    4.673695
    0.014000    0.065355   -1.486655   -1.284595   -0.083078        5.423856       -3.095680    0.013442    0.000018    0.000000    4.673695
    0.014500    0.067683   -1.483653   -1.284447   -0.086038        5.423856       -3.095680    0.014419    0.000021    0.000000    4.673695
    0.015000    0.070010   -1.480652   -1.284293   -0.088998        5.423856       -3.095680    0.015430    0.000024    0.000000    4.673695
    0.015500    0.072338   -1.477651   -1.284134   -0.091957        5.423856       -3.095680    0.016475    0.000028    0.000000    4.673695
