           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.389866    0.000000        8.729019       -4.482208    0.000000    0.000000    0.000000    3.775673
    0.000500    0.001888   -1.568172   -1.389866   -0.003521        8.729019       -4.482208    0.000011    0.000000    0.000000    3.775673
    0.001000    0.003776   -1.565549   -1.389866   -0.007042        8.729019       -4.482208    0.000045    0.000000    0.000000    3.775673
    0.001500    0.005663   -1.562925   -1.389866   -0.010563        8.729019       -4.482208    0.000101    0.000000    0.000000    3.775673
    0.002000    0.007551   -1.560301   -1.389866   -0.014084        8.729019       -4.482208    0.000179    0.000000    0.000000    3.775673
    0.002500    0.009439   -1.557677   -1.389866   -0.017606        8.729019       -4.482208    0.000280    0.000000    0.000000    3.775673
    0.003000    0.011327   -1.555053   -1.389866   -0.021127        8.729019       -4.482208    0.000403    0.000000    0.000000    3.775673
    0.003500    0.013214   -1.552429   -1.389866   -0.024648        8.729019       -4.482208    0.000549    0.000000    0.000000    3.775673
    0.004000    0.015102   -1.549806   -1.389866   -0.028169        8.729019       -4.482208    0.000717    0.000000    0.000000    3.775673
    0.004500    0.016989   -1.547182   -1.389866   -0.031690        8.729019       -4.482208    0.000907    0.000000    0.000000    3.775673
    0.005000    0.018876   -1.544558   -1.389866   -0.035211        8.729019       -4.482208    0.001120    0.000000    0.000000    3.775673
    0.005500    0.020763   -1.541934   -1.389837   -0.038733        8.729019       -4.482208    0.001355    0.000000    0.000000    3.775673
    0.006000    0.022650   -1.539310   -1.389766   -0.042254        8.729019       -4.482208    0.001612    0.000000    0.000000    3.775673
    0.006500    0.024537   -1.536687   -1.389693   -0.045775        8.729019       -4.482208    0.001892    0.000000    0.000000    3.775673
    0.007000    0.026424   -1.534063   -1.389617   -0.049296        8.729019       -4.482208    0.002194    0.000001    0.000000    3.775673
    0.007500    0.028310   -1.531440   -1.389538   -0.052816        8.729019       -4.482208    0.002519    0.000001    0.000000    3.775673
    0.008000    0.030197   -1.528817   -1.389455   -0.056335        8.729019       -4.482208    0.002866    0.000001    0.000000    3.775673
    0.008500    0.032083   -1.526194   -1.389368   -0.059854        8.729019       -4.482208    0.003235    0.000001    0.000000    3.775673
    0.009000    0.033968   -1.523571   -1.389277   -0.063373        8.729019       -4.482208    0.003627    0.000001    0.000000    3.775673
    0.009500    0.035854   -1.520948   -1.389181   -0.066891        8.729019       -4.482208    0.004041    0.000002    0.000000    3.775673
    0.010000    0.037739   -1.518326   -1.389081   -0.070408        8.729019       -4.482208    0.004478    0.000002    0.000000    3.775673
    0.010500    0.039625   -1.515704   -1.388977   -0.073925        8.729019       -4.482208    0.004936    0.000003    0.000000    3.775673
    0.011000    0.041509   -1.513082   -1.388867   -0.077441        8.729019       -4.482208    0.005418    0.000003    0.000000    3.775673
    0.011500    0.043394   -1.510460   -1.388753   -0.080956        8.729019       -4.482208    0.005921    0.000004    0.000000    3.775673
    0.012000    0.045278   -1.507838   -1.388635   -0.084471        8.729019       -4.482208    0.006447    0.000005    0.000000    3.775673
    0.012500    0.047162   -1.505217   -1.388511   -0.087984        8.729019       -4.482208    0.006995    0.000005    0.000000    3.775673
    0.013000    0.049046   -1.502596   -1.388383   -0.091497        8.729019       -4.482208    0.007566    0.000006    0.000000    3.775673
    0.013500    0.050929   -1.499975   -1.388249   -0.095010        8.729019       -4.482208    0.008159    0.000007    0.000000    3.775673
    0.014000    0.052812   -1.497354   -1.388111   -0.098521        8.729019       -4.482208    0.008774    0.000009    0.000000    3.775673
    0.014500    0.054694   -1.494734   -1.387968   -0.102032        8.729019       -4.482208    0.009412    0.000010    0.000000    3.775673
    0.015000    0.056577   -1.492114   -1.387821   -0.105542        8.729019       -4.482208    0.010072    0.000011    0.000000    3.775673
    0.015500    0.058458   -1.489494   -1.387668   -0.109050        8.729019       -4.482208    0.010754    0.000013    0.000000    3.775673
    0.016000    0.060340   -1.486874   -1.387510   -0.112558        8.729019       -4.482208    0.011458    0.000015    0.000000    3.775673
    0.016500    0.062221   -1.484255   -1.387348   -0.116065        8.729019       -4.482208    0.012185    0.000016    0.000000    3.775673
    0.017000    0.064101   -1.481636   -1.387180   -0.119571        8.729019       -4.482208    0.012934    0.000018    0.000000    3.775673
    0.017500    0.065981   -1.479017   -1.387008   -0.123076        8.729019       -4.482208    0.013706    0.000021    0.000000    3.775673
    0.018000    0.067861   -1.476399   -1.386831   -0.126580        8.729019       -4.482208    0.014500    0.000023    0.000000    3.775673
    0.018500    0.069740   -1.473781   -1.386648   -0.130083        8.729019       -4.482208    0.015316    0.000026    0.000000    3.775673
    0.019000    0.071619   -1.471164   -1.386461   -0.133584        8.729019       -4.482208    0.016154    0.000029    0.000000    3.775673
    0.019500    0.073497   -1.468546   -1.386269   -0.137085        8.729019       -4.482208    0.017015    0.000032    0.000000    3.775673
    0.020000    0.075375   -1.465930   -1.386072   -0.140584        8.729019       -4.482208    0.017898    0.000035    0.000000    3.775673
    0.020500    0.077252   -1.463313   -1.385870   -0.144082        8.729019       -4.482208    0.018803    0.000039    0.000000    3.775673
    0.021000    0.079129   -1.460697   -1.385663   -0.147579        8.729019       -4.482208    0.019730    0.000043    0.000000    3.775673
    0.021500    0.081005   -1.458081   -1.385452   -0.151075        8.729019       -4.482208    0.020680    0.000047    0.000000    3.775673
    0.022000    0.082881   -1.455466   -1.385235   -0.154569        8.729019       -4.482208    0.021652    0.000052    0.000000    3.775673
    0.022500    0.084756   -1.452851   -1.385013   -0.158062        8.729019       -4.482208    0.022646    0.000057    0.000000    3.775673
    0.023000    0.086630   -1.450237   -1.384786   -0.161554        8.729019       -4.482208    0.023663    0.000062    0.000000    3.775673
    0.023500    0.088504   -1.447623   -1.384555   -0.165044        8.729019       -4.482208    0.024702    0.000067    0.000000    3.775673
    0.024000    0.090377   -1.445009   -1.384318   -0.168533        8.729019       -4.482208    0.025762    0.000073    0.000000    3.775673
    0.024500    0.092250   -1.442396   -1.384077   -0.172020        8.729019       -4.482208    0.026846    0.000079    0.000000    3.775673
    0.025000    0.094122   -1.439783   -1.383830   -0.175506        8.729019       -4.482208    0.027951    0.000086    0.000000    3.775673
    0.025500    0.095993   -1.437171   -1.383579   -0.178991        8.729019       -4.482208    0.029078    0.000093    0.000000    3.775673
    0.026000    0.097864   -1.434559   -1.383323   -0.182473        8.729019       -4.482208    0.030228    0.000101    0.000000    3.775673
    0.026500    0.099734   -1.431948   -1.383061   -0.185955        8.729019       -4.482208    0.031400    0.000109    0.000000    3.775673
    0.027000    0.101603   -1.429337   -1.382795   -0.189435        8.729019       -4.482208    0.032594    0.000117    0.000000    3.775673
    0.027500    0.103472   -1.426727   -1.382524   -0.192913        8.729019       -4.482208    0.033810    0.000126    0.000000    3.775673
    0.028000    0.105340   -1.424117   -1.382248   -0.196389        8.729019       -4.482208    0.035049    0.000135    0.000000    3.775673
    0.028500    0.107207   -1.421508   -1.381967   -0.199864        8.729019       -4.482208    0.036309    0.000145    0.000000    3.775673
    0.029000    0.109073   -1.418899   -1.381681   -0.203337        8.729019       -4.482208    0.037592    0.000156    0.000000    3.775673
    0.029500    0.110939   -1.416291   -1.381391   -0.206808        8.729019       -4.482208    0.038897    0.000166    0.000000    3.775673
    0.030000    0.112804   -1.413684   -1.381095   -0.210278        8.729019       -4.482208    0.040224    0.000178    0.000000    3.775673
    0.030500    0.114668   -1.411077   -1.380794   -0.213746        8.729019       -4.482208    0.041573    0.000190    0.000000    3.775673
    0.031000    0.116532   -1.408470   -1.380489   -0.217212        8.729019       -4.482208    0.042944    0.000203    0.000000    3.775673
    0.031500    0.118394   -1.405864   -1.380178   -0.220676        8.729019       -4.482208    0.044338    0.000216    0.000000    3.775673
    0.032000    0.120256   -1.403259   -1.379863   -0.224138        8.729019       -4.482208    0.045753    0.000230    0.000000    3.775673
    0.032500    0.122117   -1.400655   -1.379542   -0.227598        8.729019       -4.482208    0.047190    0.000245    0.000000    3.775673
    0.033000    0.123977   -1.398051   -1.379217   -0.231056        8.729019       -4.482208    0.048650    0.000260    0.000000    3.775673
    0.033500    0.125836   -1.395447   -1.378887   -0.234513        8.729019       -4.482208    0.050132    0.000276    0.000000    3.775673
    0.034000    0.127695   -1.392844   -1.378552   -0.237967        8.729019       -4.482208    0.051635    0.000293    0.000000    3.775673
    0.034500    0.129553   -1.390242   -1.378212   -0.241419        8.729019       -4.482208    0.053161    0.000310    0.000000    3.775673
    0.035000    0.131409   -1.387641   -1.377867   -0.244870        8.729019       -4.482208    0.054709    0.000329    0.000000    3.775673
    0.035500    0.133265   -1.385040   -1.377517   -0.248318        8.729019       -4.482208    0.056278    0.000348    0.000000    3.775673
    0.036000    0.135120   -1.382440   -1.377162   -0.251764        8.729019       -4.482208    0.057870    0.000368    0.000000    3.775673
    0.036500    0.136974   -1.379840   -1.376803   -0.255208        8.729019       -4.482208    0.059484    0.000388    0.000000    3.775673
    0.037000    0.138827   -1.377241   -1.376438   -0.258649        8.729019       -4.482208    0.061120    0.000410    0.000000    3.775673
    0.037500    0.140679   -1.374643   -1.376069   -0.262089        8.729019       -4.482208    0.062777    0.000432    0.000000    3.775673
    0.038000    0.142530   -1.372046   -1.375694   -0.265526        8.729019       -4.482208    0.064457    0.000456    0.000000    3.775673
    0.038500    0.144380   -1.369449   -1.375315   -0.268961        8.729019       -4.482208    0.066159    0.000480    0.000000    3.775673
    0.039000    0.146230   -1.366853   -1.374931   -0.272394        8.729019       -4.482208    0.067882    0.000505    0.000000    3.775673
    0.039500    0.148078   -1.364258   -1.374542   -0.275824        8.729019       -4.482208    0.069628    0.000531    0.000000    3.775673
    0.040000    0.149925   -1.361663   -1.374148   -0.279252        8.729019       -4.482208    0.071395    0.000558    0.000000    3.775673
    0.040500    0.151771   -1.359069   -1.373749   -0.282677        8.729019       -4.482208    0.073184    0.000587    0.000000    3.775673
    0.041000    0.153616   -1.356476   -1.373346   -0.286100        8.729019       -4.482208    0.074996    0.000616    0.000000    3.775673
    0.041500    0.155461   -1.353884   -1.372937   -0.289521        8.729019       -4.482208    0.076829    0.000646    0.000000    3.775673
    0.042000    0.157304   -1.351293   -1.372524   -0.292939        8.729019       -4.482208    0.078684    0.000677    0.000000    3.775673
