           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000   -0.000000   -1.570796   -1.199735    0.000000        3.996895       -2.412390    0.000000    0.000000    0.000000    5.528737
    0.000500    0.002764   -1.567480   -1.199735   -0.002476        3.996895       -2.412390    0.000024    0.000000    0.000000    5.528737
    0.001000    0.005529   -1.564163   -1.199735   -0.004953        3.996895       -2.412390    0.000096    0.000000    0.000000    5.528737
    0.001500    0.008293   -1.560847   -1.199735   -0.007429        3.996895       -2.412390    0.000216    0.000000    0.000000    5.528737
    0.002000    0.011057   -1.557530   -1.199735   -0.009905        3.996895       -2.412390    0.000384    0.000000    0.000000    5.528737
    0.002500    0.013821   -1.554214   -1.199735   -0.012381        3.996895       -2.412390    0.000600    0.000000    0.000000    5.528737
    0.003000    0.016585   -1.550897   -1.199735   -0.014858        3.996895       -2.412390    0.000864    0.000000    0.000000    5.528737
    0.003500    0.019349   -1.547581   -1.199735   -0.017334        3.996895       -2.412390    0.001176    0.000000    0.000000    5.528737
    0.004000    0.022112   -1.544264   -1.199697   -0.019810        3.996895       -2.412390    0.001536    0.000000    0.000000    5.528737
    0.004500    0.024876   -1.540948   -1.199646   -0.022287        3.996895       -2.412390    0.001944    0.000000    0.000000    5.528737
    0.005000    0.027639   -1.537632   -1.199592   -0.024763        3.996895       -2.412390    0.002401    0.000001    0.000000    5.528737
    0.005500    0.030401   -1.534316   -1.199534   -0.027239        3.996895       -2.412390    0.002905    0.000001    0.000000    5.528737
    0.006000    0.033164   -1.531000   -1.199472   -0.029715        3.996895       -2.412390    0.003457    0.000001    0.000000    5.528737
    0.006500    0.035926   -1.527684   -1.199405   -0.032190        3.996895       -2.412390    0.004057    0.000002    0.000000    5.528737
    0.007000    0.038687   -1.524369   -1.199334   -0.034665        3.996895       -2.412390    0.004705    0.000002    0.000000    5.528737
    0.007500    0.041448   -1.521053   -1.199258   -0.037140        3.996895       -2.412390    0.005401    0.000003    0.000000    5.528737
    0.008000    0.044209   -1.517738   -1.199177   -0.039614        3.996895       -2.412390    0.006144    0.000004    0.000000    5.528737
    0.008500    0.046969   -1.514423   -1.199091   -0.042089        3.996895       -2.412390    0.006936    0.000005    0.000000    5.528737
    0.009000    0.049729   -1.511109   -1.199001   -0.044562        3.996895       -2.412390    0.007776    0.000006    0.000000    5.528737
    0.009500    0.052488   -1.507794   -1.198905   -0.047036        3.996895       -2.412390    0.008664    0.000007    0.000000    5.528737
    0.010000    0.055247   -1.504480   -1.198804   -0.049509        3.996895       -2.412390    0.009599    0.000009    0.000000    5.528737
    0.010500    0.058005   -1.501167   -1.198698   -0.051981        3.996895       -2.412390    0.010583    0.000011    0.000000    5.528737
    0.011000    0.060762   -1.497853   -1.198587   -0.054454        3.996895       -2.412390    0.011614    0.000013    0.000000    5.528737
    0.011500    0.063519   -1.494540   -1.198472   -0.056925        3.996895       -2.412390    0.012694    0.000015    0.000000    5.528737
    0.012000    0.066275   -1.491227   -1.198351   -0.059396        3.996895       -2.412390    0.013821    0.000018    0.000000    5.528737
    0.012500    0.069030   -1.487915   -1.198224   -0.061867        3.996895       -2.412390    0.014996    0.000021    0.000000    5.528737
    0.013000    0.071785   -1.484602   -1.198093   -0.064337        3.996895       -2.412390    0.016219    0.000025    0.000000    5.528737
    0.013500    0.074538   -1.481291   -1.197957   -0.066807        3.996895       -2.412390    0.017490    0.000029    0.000000    5.528737
    0.014000    0.077291   -1.477979   -1.197816   -0.069276        3.996895       -2.412390    0.018808    0.000034    0.000000    5.528737
    0.014500    0.080043   -1.474668   -1.197669   -0.071745        3.996895       -2.412390    0.020175    0.000039    0.000000    5.528737
    0.015000    0.082794   -1.471358   -1.197518   -0.074213        3.996895       -2.412390    0.021589    0.000044    0.000000    5.528737
    0.015500    0.085545   -1.468047   -1.197361   -0.076680        3.996895       -2.412390    0.023051    0.000051    0.000000    5.528737
    0.016000    0.088294   -1.464738   -1.197199   -0.079147        3.996895       -2.412390    0.024560    0.000057    0.000000    5.528737
    0.016500    0.091042   -1.461428   -1.197032   -0.081613        3.996895       -2.412390    0.026118    0.000065    0.000000    5.528737
    0.017000    0.093790   -1.458120   -1.196860   -0.084078        3.996895       -2.412390    0.027723    0.000073    0.000000    5.528737
    0.017500    0.096536   -1.454811   -1.196683   -0.086542        3.996895       -2.412390    0.029376    0.000082    0.000000    5.528737
    0.018000    0.099281   -1.451504   -1.196501   -0.089006        3.996895       -2.412390    0.031076    0.000092    0.000000    5.528737
    0.018500    0.102025   -1.448196   -1.196313   -0.091470        3.996895       -2.412390    0.032825    0.000103    0.000000    5.528737
    0.019000    0.104768   -1.444889   -1.196121   -0.093932        3.996895       -2.412390    0.034621    0.000114    0.000000    5.528737
    0.019500    0.107510   -1.441583   -1.195923   -0.096394        3.996895       -2.412390    0.036464    0.000127    0.000000    5.528737
