           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.165788    0.000000        3.701138       -2.225423    0.000000    0.000000    0.000000    6.149469
    0.000500    0.003075   -1.567212   -1.165788   -0.002287        3.701138       -2.225423    0.000030    0.000000    0.000000    6.149469
    0.001000    0.006149   -1.563627   -1.165788   -0.004574        3.701138       -2.225423    0.000119    0.000000    0.000000    6.149469
    0.001500    0.009224   -1.560043   -1.165788   -0.006861        3.701138       -2.225423    0.000267    0.000000    0.000000    6.149469
    0.002000    0.012299   -1.556458   -1.165788   -0.009148        3.701138       -2.225423    0.000475    0.000000    0.000000    6.149469
    0.002500    0.015373   -1.552874   -1.165788   -0.011435        3.701138       -2.225423    0.000742    0.000000    0.000000    6.149469
    0.003000    0.018447   -1.549289   -1.165788   -0.013722        3.701138       -2.225423    0.001069    0.000000    0.000000    6.149469
    0.003500    0.021521   -1.545705   -1.165765   -0.016009        3.701138       -2.225423    0.001455    0.000000    0.000000    6.149469
    0.004000    0.024595   -1.542121   -1.165718   -0.018296        3.701138       -2.225423    0.001901    0.000000    0.000000    6.149469
    0.004500    0.027668   -1.538536   -1.165668   -0.020583        3.701138       -2.225423    0.002406    0.000001    0.000000    6.149469
    0.005000    0.030741   -1.534952   -1.165614   -0.022870        3.701138       -2.225423    0.002970    0.000001    0.000000    6.149469
    0.005500    0.033813   -1.531368   -1.165556   -0.025156        3.701138       -2.225423    0.003593    0.000001    0.000000    6.149469
    0.006000    0.036885   -1.527785   -1.165493   -0.027443        3.701138       -2.225423    0.004276    0.000002    0.000000    6.149469
    0.006500    0.039957   -1.524201   -1.165426   -0.029729        3.701138       -2.225423    0.005018    0.000002    0.000000    6.149469
    0.007000    0.043028   -1.520618   -1.165353   -0.032014        3.701138       -2.225423    0.005820    0.000003    0.000000    6.149469
    0.007500    0.046099   -1.517035   -1.165276   -0.034299        3.701138       -2.225423    0.006681    0.000004    0.000000    6.149469
    0.008000    0.049169   -1.513452   -1.165193   -0.036584        3.701138       -2.225423    0.007601    0.000005    0.000000    6.149469
    0.008500    0.052238   -1.509870   -1.165105   -0.038869        3.701138       -2.225423    0.008581    0.000007    0.000000    6.149469
    0.009000    0.055307   -1.506287   -1.165012   -0.041153        3.701138       -2.225423    0.009620    0.000009    0.000000    6.149469
    0.009500    0.058375   -1.502706   -1.164914   -0.043437        3.701138       -2.225423    0.010718    0.000011    0.000000    6.149469
    0.010000    0.061442   -1.499124   -1.164811   -0.045721        3.701138       -2.225423    0.011875    0.000013    0.000000    6.149469
    0.010500    0.064508   -1.495543   -1.164703   -0.048004        3.701138       -2.225423    0.013092    0.000016    0.000000    6.149469
    0.011000    0.067574   -1.491962   -1.164589   -0.050286        3.701138       -2.225423    0.014368    0.000019    0.000000    6.149469
    0.011500    0.070639   -1.488381   -1.164470   -0.052568        3.701138       -2.225423    0.015703    0.000023    0.000000    6.149469
    0.012000    0.073703   -1.484801   -1.164346   -0.054850        3.701138       -2.225423    0.017097    0.000027    0.000000    6.149469
    0.012500    0.076766   -1.481221   -1.164217   -0.057131        3.701138       -2.225423    0.018550    0.000032    0.000000    6.149469
    0.013000    0.079827   -1.477641   -1.164082   -0.059412        3.701138       -2.225423    0.020063    0.000037    0.000000    6.149469
    0.013500    0.082888   -1.474062   -1.163942   -0.061692        3.701138       -2.225423    0.021635    0.000043    0.000000    6.149469
    0.014000    0.085948   -1.470484   -1.163797   -0.063971        3.701138       -2.225423    0.023266    0.000050    0.000000    6.149469
    0.014500    0.089007   -1.466906   -1.163646   -0.066250        3.701138       -2.225423    0.024956    0.000058    0.000000    6.149469
    0.015000    0.092064   -1.463328   -1.163491   -0.068528        3.701138       -2.225423    0.026705    0.000066    0.000000    6.149469
    0.015500    0.095121   -1.459751   -1.163330   -0.070806        3.701138       -2.225423    0.028513    0.000075    0.000000    6.149469
    0.016000    0.098176   -1.456174   -1.163164   -0.073083        3.701138       -2.225423    0.030380    0.000085    0.000000    6.149469
    0.016500    0.101230   -1.452598   -1.162992   -0.075359        3.701138       -2.225423    0.032306    0.000097    0.000000    6.149469
    0.017000    0.104283   -1.449022   -1.162816   -0.077634        3.701138       -2.225423    0.034291    0.000109    0.000000    6.149469
    0.017500    0.107334   -1.445447   -1.162634   -0.079909        3.701138       -2.225423    0.036336    0.000122    0.000000    6.149469
    0.018000    0.110384   -1.441873   -1.162447   -0.082183        3.701138       -2.225423    0.038439    0.000137    0.000000    6.149469
    0.018500    0.113432   -1.438299   -1.162254   -0.084457        3.701138       -2.225423    0.040601    0.000152    0.000000    6.149469
    0.019000    0.116479   -1.434726   -1.162057   -0.086729        3.701138       -2.225423    0.042821    0.000169    0.000000    6.149469
    0.019500    0.119525   -1.431153   -1.161854   -0.089001        3.701138       -2.225423    0.045101    0.000188    0.000000    6.149469
    0.020000    0.122569   -1.427581   -1.161646   -0.091272        3.701138       -2.225423    0.047440    0.000208    0.000000    6.149469
    0.020500    0.125611   -1.424009   -1.161432   -0.093541        3.701138       -2.225423    0.049837    0.000229    0.000000    6.149469
    0.021000    0.128652   -1.420439   -1.161214   -0.095811        3.701138       -2.225423    0.052293    0.000253    0.000000    6.149469
    0.021500    0.131692   -1.416868   -1.160990   -0.098079        3.701138       -2.225423    0.054808    0.000277    0.000000    6.149469
    0.022000    0.134729   -1.413299   -1.160760   -0.100346        3.701138       -2.225423    0.057381    0.000304    0.000000    6.149469
    0.022500    0.137765   -1.409730   -1.160526   -0.102612        3.701138       -2.225423    0.060014    0.000332    0.000000    6.149469
    0.023000    0.140799   -1.406162   -1.160286   -0.104878        3.701138       -2.225423    0.062704    0.000363    0.000000    6.149469
    0.023500    0.143831   -1.402595   -1.160041   -0.107142        3.701138       -2.225423    0.065454    0.000395    0.000000    6.149469
    0.024000    0.146862   -1.399029   -1.159791   -0.109406        3.701138       -2.225423    0.068262    0.000430    0.000000    6.149469
    0.024500    0.149890   -1.395463   -1.159536   -0.111668        3.701138       -2.225423    0.071128    0.000466    0.000000    6.149469
    0.025000    0.152917   -1.391898   -1.159275   -0.113929        3.701138       -2.225423    0.074053    0.000505    0.000000    6.149469
    0.025500    0.155941   -1.388334   -1.159009   -0.116189        3.701138       -2.225423    0.077037    0.000547    0.000000    6.149469
    0.026000    0.158964   -1.384771   -1.158738   -0.118449        3.701138       -2.225423    0.080078    0.000591    0.000000    6.149469
    0.026500    0.161985   -1.381209   -1.158462   -0.120707        3.701138       -2.225423    0.083179    0.000637    0.000000    6.149469
    0.027000    0.165003   -1.377647   -1.158180   -0.122964        3.701138       -2.225423    0.086337    0.000686    0.000000    6.149469
    0.027500    0.168020   -1.374086   -1.157893   -0.125219        3.701138       -2.225423    0.089554    0.000738    0.000000    6.149469
    0.028000    0.171034   -1.370527   -1.157601   -0.127474        3.701138       -2.225423    0.092829    0.000793    0.000000    6.149469
    0.028500    0.174046   -1.366968   -1.157304   -0.129727        3.701138       -2.225423    0.096163    0.000851    0.000000    6.149469
    0.029000    0.177056   -1.363410   -1.157001   -0.131980        3.701138       -2.225423    0.099554    0.000911    0.000000    6.149469
    0.029500    0.180064   -1.359853   -1.156694   -0.134230        3.701138       -2.225423    0.103004    0.000975    0.000000    6.149469
    0.030000    0.183070   -1.356297   -1.156381   -0.136480        3.701138       -2.225423    0.106511    0.001043    0.000000    6.149469
