           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.306146    0.000000        7.151558       -3.916490   -0.000000   -0.000000    0.000000    4.042790
    0.000500    0.002021   -1.568156   -1.306146   -0.003112        7.151558       -3.916490    0.000013    0.000000    0.000000    4.042790
    0.001000    0.004043   -1.565516   -1.306146   -0.006225        7.151558       -3.916490    0.000051    0.000000    0.000000    4.042790
    0.001500    0.006064   -1.562876   -1.306146   -0.009337        7.151558       -3.916490    0.000116    0.000000    0.000000    4.042790
    0.002000    0.008085   -1.560235   -1.306146   -0.012450        7.151558       -3.916490    0.000205    0.000000    0.000000    4.042790
    0.002500    0.010107   -1.557595   -1.306146   -0.015562        7.151558       -3.916490    0.000321    0.000000    0.000000    4.042790
    0.003000    0.012128   -1.554955   -1.306146   -0.018674        7.151558       -3.916490    0.000462    0.000000    0.000000    4.042790
    0.003500    0.014149   -1.552315   -1.306146   -0.021787        7.151558       -3.916490    0.000629    0.000000    0.000000    4.042790
    0.004000    0.016170   -1.549674   -1.306146   -0.024899        7.151558       -3.916490    0.000822    0.000000    0.000000    4.042790
    0.004500    0.018191   -1.547034   -1.306146   -0.028012        7.151558       -3.916490    0.001040    0.000000    0.000000    4.042790
    0.005000    0.020212   -1.544394   -1.306139   -0.031124        7.151558       -3.916490    0.001284    0.000000    0.000000    4.042790
    0.005500    0.022232   -1.541754   -1.306076   -0.034237        7.151558       -3.916490    0.001553    0.000000    0.000000    4.042790
    0.006000    0.024253   -1.539114   -1.306012   -0.037349        7.151558       -3.916490    0.001848    0.000000    0.000000    4.042790
    0.006500    0.026273   -1.536474   -1.305945   -0.040461        7.151558       -3.916490    0.002169    0.000000    0.000000    4.042790
    0.007000    0.028293   -1.533834   -1.305876   -0.043573        7.151558       -3.916490    0.002516    0.000001    0.000000    4.042790
    0.007500    0.030313   -1.531194   -1.305802   -0.046684        7.151558       -3.916490    0.002888    0.000001    0.000000    4.042790
    0.008000    0.032333   -1.528555   -1.305725   -0.049795        7.151558       -3.916490    0.003286    0.000001    0.000000    4.042790
    0.008500    0.034352   -1.525916   -1.305644   -0.052905        7.151558       -3.916490    0.003709    0.000001    0.000000    4.042790
    0.009000    0.036371   -1.523277   -1.305558   -0.056015        7.151558       -3.916490    0.004158    0.000002    0.000000    4.042790
    0.009500    0.038390   -1.520638   -1.305469   -0.059124        7.151558       -3.916490    0.004633    0.000002    0.000000    4.042790
    0.010000    0.040409   -1.517999   -1.305375   -0.062233        7.151558       -3.916490    0.005133    0.000003    0.000000    4.042790
    0.010500    0.042428   -1.515360   -1.305276   -0.065341        7.151558       -3.916490    0.005660    0.000003    0.000000    4.042790
    0.011000    0.044446   -1.512722   -1.305173   -0.068449        7.151558       -3.916490    0.006211    0.000004    0.000000    4.042790
    0.011500    0.046464   -1.510084   -1.305066   -0.071556        7.151558       -3.916490    0.006789    0.000005    0.000000    4.042790
    0.012000    0.048481   -1.507446   -1.304954   -0.074662        7.151558       -3.916490    0.007391    0.000006    0.000000    4.042790
    0.012500    0.050498   -1.504808   -1.304837   -0.077768        7.151558       -3.916490    0.008020    0.000007    0.000000    4.042790
    0.013000    0.052515   -1.502171   -1.304716   -0.080873        7.151558       -3.916490    0.008674    0.000008    0.000000    4.042790
    0.013500    0.054531   -1.499533   -1.304590   -0.083978        7.151558       -3.916490    0.009354    0.000009    0.000000    4.042790
    0.014000    0.056548   -1.496896   -1.304460   -0.087081        7.151558       -3.916490    0.010059    0.000011    0.000000    4.042790
    0.014500    0.058563   -1.494260   -1.304325   -0.090184        7.151558       -3.916490    0.010790    0.000012    0.000000    4.042790
    0.015000    0.060578   -1.491623   -1.304185   -0.093287        7.151558       -3.916490    0.011547    0.000014    0.000000    4.042790
    0.015500    0.062593   -1.488987   -1.304041   -0.096388        7.151558       -3.916490    0.012329    0.000016    0.000000    4.042790
    0.016000    0.064608   -1.486351   -1.303892   -0.099489        7.151558       -3.916490    0.013137    0.000018    0.000000    4.042790
    0.016500    0.066622   -1.483716   -1.303738   -0.102588        7.151558       -3.916490    0.013970    0.000020    0.000000    4.042790
    0.017000    0.068635   -1.481081   -1.303580   -0.105687        7.151558       -3.916490    0.014829    0.000023    0.000000    4.042790
    0.017500    0.070648   -1.478446   -1.303417   -0.108785        7.151558       -3.916490    0.015714    0.000026    0.000000    4.042790
    0.018000    0.072661   -1.475811   -1.303249   -0.111882        7.151558       -3.916490    0.016624    0.000029    0.000000    4.042790
    0.018500    0.074673   -1.473177   -1.303077   -0.114978        7.151558       -3.916490    0.017559    0.000032    0.000000    4.042790
    0.019000    0.076684   -1.470543   -1.302900   -0.118073        7.151558       -3.916490    0.018521    0.000036    0.000000    4.042790
    0.019500    0.078695   -1.467910   -1.302718   -0.121167        7.151558       -3.916490    0.019507    0.000039    0.000000    4.042790
    0.020000    0.080706   -1.465277   -1.302531   -0.124260        7.151558       -3.916490    0.020520    0.000044    0.000000    4.042790
    0.020500    0.082716   -1.462644   -1.302340   -0.127352        7.151558       -3.916490    0.021557    0.000048    0.000000    4.042790
    0.021000    0.084725   -1.460011   -1.302145   -0.130443        7.151558       -3.916490    0.022621    0.000053    0.000000    4.042790
    0.021500    0.086734   -1.457379   -1.301944   -0.133532        7.151558       -3.916490    0.023710    0.000058    0.000000    4.042790
    0.022000    0.088742   -1.454748   -1.301739   -0.136621        7.151558       -3.916490    0.024824    0.000064    0.000000    4.042790
    0.022500    0.090749   -1.452117   -1.301529   -0.139709        7.151558       -3.916490    0.025964    0.000070    0.000000    4.042790
    0.023000    0.092756   -1.449486   -1.301315   -0.142795        7.151558       -3.916490    0.027129    0.000076    0.000000    4.042790
    0.023500    0.094762   -1.446856   -1.301096   -0.145880        7.151558       -3.916490    0.028320    0.000083    0.000000    4.042790
    0.024000    0.096768   -1.444226   -1.300872   -0.148964        7.151558       -3.916490    0.029536    0.000090    0.000000    4.042790
    0.024500    0.098773   -1.441597   -1.300643   -0.152046        7.151558       -3.916490    0.030778    0.000098    0.000000    4.042790
    0.025000    0.100777   -1.438968   -1.300410   -0.155127        7.151558       -3.916490    0.032045    0.000106    0.000000    4.042790
    0.025500    0.102780   -1.436339   -1.300172   -0.158207        7.151558       -3.916490    0.033338    0.000115    0.000000    4.042790
    0.026000    0.104783   -1.433712   -1.299930   -0.161286        7.151558       -3.916490    0.034656    0.000124    0.000000    4.042790
    0.026500    0.106785   -1.431084   -1.299683   -0.164363        7.151558       -3.916490    0.035999    0.000134    0.000000    4.042790
    0.027000    0.108787   -1.428457   -1.299431   -0.167438        7.151558       -3.916490    0.037368    0.000144    0.000000    4.042790
    0.027500    0.110787   -1.425831   -1.299174   -0.170513        7.151558       -3.916490    0.038763    0.000155    0.000000    4.042790
    0.028000    0.112787   -1.423205   -1.298913   -0.173586        7.151558       -3.916490    0.040183    0.000167    0.000000    4.042790
    0.028500    0.114786   -1.420580   -1.298647   -0.176657        7.151558       -3.916490    0.041628    0.000179    0.000000    4.042790
    0.029000    0.116784   -1.417955   -1.298377   -0.179727        7.151558       -3.916490    0.043098    0.000192    0.000000    4.042790
    0.029500    0.118782   -1.415330   -1.298101   -0.182795        7.151558       -3.916490    0.044594    0.000206    0.000000    4.042790
    0.030000    0.120778   -1.412707   -1.297821   -0.185862        7.151558       -3.916490    0.046116    0.000220    0.000000    4.042790
    0.030500    0.122774   -1.410084   -1.297537   -0.188927        7.151558       -3.916490    0.047662    0.000235    0.000000    4.042790
    0.031000    0.124769   -1.407461   -1.297248   -0.191991        7.151558       -3.916490    0.049234    0.000250    0.000000    4.042790
    0.031500    0.126763   -1.404839   -1.296954   -0.195053        7.151558       -3.916490    0.050832    0.000267    0.000000    4.042790
    0.032000    0.128756   -1.402218   -1.296655   -0.198113        7.151558       -3.916490    0.052454    0.000284    0.000000    4.042790
    0.032500    0.130749   -1.399597   -1.296352   -0.201172        7.151558       -3.916490    0.054102    0.000302    0.000000    4.042790
    0.033000    0.132740   -1.396977   -1.296044   -0.204228        7.151558       -3.916490    0.055775    0.000321    0.000000    4.042790
    0.033500    0.134730   -1.394357   -1.295732   -0.207284        7.151558       -3.916490    0.057474    0.000341    0.000000    4.042790
    0.034000    0.136720   -1.391739   -1.295415   -0.210337        7.151558       -3.916490    0.059198    0.000362    0.000000    4.042790
    0.034500    0.138709   -1.389120   -1.295093   -0.213388        7.151558       -3.916490    0.060947    0.000383    0.000000    4.042790
    0.035000    0.140696   -1.386503   -1.294767   -0.216438        7.151558       -3.916490    0.062721    0.000406    0.000000    4.042790
    0.035500    0.142683   -1.383886   -1.294435   -0.219486        7.151558       -3.916490    0.064521    0.000429    0.000000    4.042790
    0.036000    0.144669   -1.381270   -1.294100   -0.222532        7.151558       -3.916490    0.066346    0.000454    0.000000    4.042790
    0.036500    0.146653   -1.378654   -1.293759   -0.225576        7.151558       -3.916490    0.068196    0.000479    0.000000    4.042790
    0.037000    0.148637   -1.376039   -1.293414   -0.228618        7.151558       -3.916490    0.070071    0.000506    0.000000    4.042790
    0.037500    0.150620   -1.373425   -1.293065   -0.231659        7.151558       -3.916490    0.071971    0.000534    0.000000    4.042790
    0.038000    0.152601   -1.370812   -1.292710   -0.234697        7.151558       -3.916490    0.073897    0.000563    0.000000    4.042790
    0.038500    0.154582   -1.368199   -1.292352   -0.237733        7.151558       -3.916490    0.075848    0.000593    0.000000    4.042790
    0.039000    0.156561   -1.365587   -1.291988   -0.240767        7.151558       -3.916490    0.077823    0.000624    0.000000    4.042790
    0.039500    0.158540   -1.362976   -1.291620   -0.243799        7.151558       -3.916490    0.079824    0.000656    0.000000    4.042790
    0.040000    0.160517   -1.360365   -1.291247   -0.246829        7.151558       -3.916490    0.081851    0.000690    0.000000    4.042790
    0.040500    0.162493   -1.357755   -1.290870   -0.249857        7.151558       -3.916490    0.083902    0.000724    0.000000    4.042790
    0.041000    0.164469   -1.355147   -1.290488   -0.252883        7.151558       -3.916490    0.085978    0.000760    0.000000    4.042790
    0.041500    0.166443   -1.352538   -1.290101   -0.255907        7.151558       -3.916490    0.088080    0.000798    0.000000    4.042790
    0.042000    0.168415   -1.349931   -1.289710   -0.258928        7.151558       -3.916490    0.090206    0.000837    0.000000    4.042790
    0.042500    0.170387   -1.347324   -1.289314   -0.261948        7.151558       -3.916490    0.092358    0.000877    0.000000    4.042790
    0.043000    0.172358   -1.344718   -1.288913   -0.264965        7.151558       -3.916490    0.094534    0.000918    0.000000    4.042790
    0.043500    0.174327   -1.342114   -1.288508   -0.267979        7.151558       -3.916490    0.096736    0.000961    0.000000    4.042790
    0.044000    0.176295   -1.339509   -1.288099   -0.270992        7.151558       -3.916490    0.098962    0.001006    0.000000    4.042790
    0.044500    0.178262   -1.336906   -1.287684   -0.274002        7.151558       -3.916490    0.101214    0.001052    0.000000    4.042790
    0.045000    0.180228   -1.334303   -1.287265   -0.277010        7.151558       -3.916490    0.103490    0.001099    0.000000    4.042790
    0.045500    0.182192   -1.331702   -1.286842   -0.280015        7.151558       -3.916490    0.105792    0.001149    0.000000    4.042790
    0.046000    0.184156   -1.329101   -1.286414   -0.283018        7.151558       -3.916490    0.108118    0.001199    0.000000    4.042790
    0.046500    0.186118   -1.326501   -1.285981   -0.286019        7.151558       -3.916490    0.110470    0.001252    0.000000    4.042790
    0.047000    0.188078   -1.323902   -1.285544   -0.289017        7.151558       -3.916490    0.112846    0.001306    0.000000    4.042790
    0.047500    0.190038   -1.321304   -1.285102   -0.292013        7.151558       -3.916490    0.115247    0.001361    0.000000    4.042790
    0.048000    0.191996   -1.318707   -1.284656   -0.295006        7.151558       -3.916490    0.117673    0.001419    0.000000    4.042790
    0.048500    0.193953   -1.316110   -1.284205   -0.297997        7.151558       -3.916490    0.120124    0.001478    0.000000    4.042790
    0.049000    0.195908   -1.313515   -1.283749   -0.300985        7.151558       -3.916490    0.122600    0.001539    0.000000    4.042790
    0.049500    0.197863   -1.310920   -1.283289   -0.303970        7.151558       -3.916490    0.125101    0.001602    0.000000    4.042790
    0.050000    0.199815   -1.308327   -1.282824   -0.306953        7.151558       -3.916490    0.127626    0.001667    0.000000    4.042790
    0.050500    0.201767   -1.305734   -1.282355   -0.309933        7.151558       -3.916490    0.130176    0.001734    0.000000    4.042790
    0.051000    0.203717   -1.303143   -1.281881   -0.312911        7.151558       -3.916490    0.132751    0.001803    0.000000    4.042790
    0.051500    0.205666   -1.300552   -1.281402   -0.315886        7.151558       -3.916490    0.135351    0.001873    0.000000    4.042790
    0.052000    0.207613   -1.297962   -1.280919   -0.318858        7.151558       -3.916490    0.137976    0.001946    0.000000    4.042790
    0.052500    0.209559   -1.295373   -1.280432   -0.321828        7.151558       -3.916490    0.140625    0.002021    0.000000    4.042790
    0.053000    0.211504   -1.292786   -1.279940   -0.324795        7.151558       -3.916490    0.143299    0.002098    0.000000    4.042790
    0.053500    0.213447   -1.290199   -1.279443   -0.327759        7.151558       -3.916490    0.145997    0.002177    0.000000    4.042790
    0.054000    0.215388   -1.287613   -1.278942   -0.330720        7.151558       -3.916490    0.148721    0.002258    0.000000    4.042790
    0.054500    0.217328   -1.285028   -1.278436   -0.333678        7.151558       -3.916490    0.151468    0.002341    0.000000    4.042790
    0.055000    0.219267   -1.282445   -1.277926   -0.336634        7.151558       -3.916490    0.154241    0.002427    0.000000    4.042790
    0.055500    0.221204   -1.279862   -1.277411   -0.339586        7.151558       -3.916490    0.157038    0.002515    0.000000    4.042790
    0.056000    0.223140   -1.277280   -1.276892   -0.342536        7.151558       -3.916490    0.159860    0.002605    0.000000    4.042790
    0.056500    0.225074   -1.274700   -1.276368   -0.345483        7.151558       -3.916490    0.162706    0.002698    0.000000    4.042790
