         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.17218294  -0.00000000   4.37192887  -2.53776357   0.00000000   0.00000000   0.00000000   8.56584806
0.00010000   0.00085658  -1.56979225  -1.17218294  -0.00067564   4.37192887  -2.53776357   0.00000231   0.00000000   0.00000000   8.56584806
0.00020000   0.00171317  -1.56878818  -1.17218294  -0.00135128   4.37192887  -2.53776357   0.00000922   0.00000000   0.00000000   8.56584806
0.00030000   0.00256975  -1.56778410  -1.17218294  -0.00202692   4.37192887  -2.53776357   0.00002075   0.00000000   0.00000000   8.56584806
0.00040000   0.00342633  -1.56678003  -1.17218294  -0.00270255   4.37192887  -2.53776357   0.00003688   0.00000000   0.00000000   8.56584806
0.00050000   0.00428291  -1.56577596  -1.17218294  -0.00337819   4.37192887  -2.53776357   0.00005763   0.00000000   0.00000000   8.56584806
0.00060000   0.00513948  -1.56477188  -1.17218294  -0.00405383   4.37192887  -2.53776357   0.00008298   0.00000000   0.00000000   8.56584806
0.00070000   0.00599604  -1.56376781  -1.17218294  -0.00472947   4.37192887  -2.53776357   0.00011295   0.00000000   0.00000000   8.56584806
0.00080000   0.00685260  -1.56276373  -1.17218294  -0.00540511   4.37192887  -2.53776357   0.00014753   0.00000000   0.00000000   8.56584806
0.00090000   0.00770916  -1.56175966  -1.17218294  -0.00608075   4.37192887  -2.53776357   0.00018671   0.00000000   0.00000000   8.56584806
0.00100000   0.00856570  -1.56075559  -1.17218294  -0.00675639   4.37192887  -2.53776357   0.00023051   0.00000001   0.00000000   8.56584806
0.00110000   0.00942224  -1.55975151  -1.17218294  -0.00743203   4.37192887  -2.53776357   0.00027891   0.00000001   0.00000000   8.56584806
0.00120000   0.01027877  -1.55874744  -1.17218294  -0.00810766   4.37192887  -2.53776357   0.00033193   0.00000001   0.00000000   8.56584806
0.00130000   0.01113529  -1.55774336  -1.17218294  -0.00878330   4.37192887  -2.53776357   0.00038956   0.00000001   0.00000000   8.56584806
0.00140000   0.01199179  -1.55673929  -1.17218294  -0.00945894   4.37192887  -2.53776357   0.00045179   0.00000002   0.00000000   8.56584806
0.00150000   0.01284829  -1.55573522  -1.17218294  -0.01013458   4.37192887  -2.53776357   0.00051864   0.00000003   0.00000000   8.56584806
0.00160000   0.01370477  -1.55473114  -1.17218294  -0.01081022   4.37192887  -2.53776357   0.00059009   0.00000003   0.00000000   8.56584806
0.00170000   0.01456123  -1.55372707  -1.17218294  -0.01148586   4.37192887  -2.53776357   0.00066616   0.00000004   0.00000000   8.56584806
