         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.24107817   0.00000000   4.48166553  -2.62817789   0.00000000   0.00000000   0.00000000   5.23578323
0.00010000   0.00052358  -1.57014653  -1.24107817  -0.00053454   4.48166553  -2.62817789   0.00000086   0.00000000   0.00000000   5.23578323
0.00020000   0.00104716  -1.56949672  -1.24107817  -0.00106909   4.48166553  -2.62817789   0.00000344   0.00000000   0.00000000   5.23578323
0.00030000   0.00157073  -1.56884692  -1.24107817  -0.00160363   4.48166553  -2.62817789   0.00000775   0.00000000   0.00000000   5.23578323
0.00040000   0.00209431  -1.56819712  -1.24107817  -0.00213817   4.48166553  -2.62817789   0.00001378   0.00000000   0.00000000   5.23578323
0.00050000   0.00261789  -1.56754732  -1.24107817  -0.00267271   4.48166553  -2.62817789   0.00002153   0.00000000   0.00000000   5.23578323
0.00060000   0.00314146  -1.56689752  -1.24107817  -0.00320726   4.48166553  -2.62817789   0.00003100   0.00000000   0.00000000   5.23578323
0.00070000   0.00366504  -1.56624772  -1.24107817  -0.00374180   4.48166553  -2.62817789   0.00004220   0.00000000   0.00000000   5.23578323
0.00080000   0.00418861  -1.56559791  -1.24107817  -0.00427634   4.48166553  -2.62817789   0.00005512   0.00000000   0.00000000   5.23578323
0.00090000   0.00471218  -1.56494811  -1.24107817  -0.00481089   4.48166553  -2.62817789   0.00006976   0.00000000   0.00000000   5.23578323
0.00100000   0.00523575  -1.56429831  -1.24107817  -0.00534543   4.48166553  -2.62817789   0.00008612   0.00000000   0.00000000   5.23578323
0.00110000   0.00575931  -1.56364851  -1.24107817  -0.00587997   4.48166553  -2.62817789   0.00010421   0.00000000   0.00000000   5.23578323
0.00120000   0.00628288  -1.56299871  -1.24107817  -0.00641451   4.48166553  -2.62817789   0.00012401   0.00000000   0.00000000   5.23578323
0.00130000   0.00680644  -1.56234891  -1.24107817  -0.00694906   4.48166553  -2.62817789   0.00014555   0.00000000   0.00000000   5.23578323
0.00140000   0.00733000  -1.56169910  -1.24107817  -0.00748360   4.48166553  -2.62817789   0.00016880   0.00000000   0.00000000   5.23578323
0.00150000   0.00785355  -1.56104930  -1.24107817  -0.00801814   4.48166553  -2.62817789   0.00019377   0.00000000   0.00000000   5.23578323
0.00160000   0.00837710  -1.56039950  -1.24107817  -0.00855268   4.48166553  -2.62817789   0.00022047   0.00000000   0.00000000   5.23578323
0.00170000   0.00890065  -1.55974970  -1.24107817  -0.00908723   4.48166553  -2.62817789   0.00024889   0.00000001   0.00000000   5.23578323
0.00180000   0.00942419  -1.55909990  -1.24107817  -0.00962177   4.48166553  -2.62817789   0.00027903   0.00000001   0.00000000   5.23578323
0.00190000   0.00994774  -1.55845010  -1.24107817  -0.01015631   4.48166553  -2.62817789   0.00031090   0.00000001   0.00000000   5.23578323
0.00200000   0.01047127  -1.55780029  -1.24107817  -0.01069086   4.48166553  -2.62817789   0.00034448   0.00000001   0.00000000   5.23578323
0.00210000   0.01099480  -1.55715049  -1.24107817  -0.01122540   4.48166553  -2.62817789   0.00037979   0.00000001   0.00000000   5.23578323
