         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.13602492  -0.00000000   3.65316464  -2.19172813   0.00000000   0.00000000   0.00000000   6.70950245
0.00010000   0.00067095  -1.57003411  -1.13602492  -0.00044502   3.65316464  -2.19172813   0.00000141   0.00000000   0.00000000   6.70950245
0.00020000   0.00134190  -1.56927189  -1.13602492  -0.00089005   3.65316464  -2.19172813   0.00000566   0.00000000   0.00000000   6.70950245
0.00030000   0.00201285  -1.56850968  -1.13602492  -0.00133507   3.65316464  -2.19172813   0.00001273   0.00000000   0.00000000   6.70950245
0.00040000   0.00268380  -1.56774746  -1.13602492  -0.00178010   3.65316464  -2.19172813   0.00002263   0.00000000   0.00000000   6.70950245
0.00050000   0.00335474  -1.56698525  -1.13602492  -0.00222512   3.65316464  -2.19172813   0.00003536   0.00000000   0.00000000   6.70950245
0.00060000   0.00402569  -1.56622303  -1.13602492  -0.00267015   3.65316464  -2.19172813   0.00005091   0.00000000   0.00000000   6.70950245
0.00070000   0.00469663  -1.56546081  -1.13602492  -0.00311517   3.65316464  -2.19172813   0.00006930   0.00000000   0.00000000   6.70950245
0.00080000   0.00536757  -1.56469860  -1.13602492  -0.00356020   3.65316464  -2.19172813   0.00009051   0.00000000   0.00000000   6.70950245
0.00090000   0.00603850  -1.56393638  -1.13602492  -0.00400522   3.65316464  -2.19172813   0.00011455   0.00000000   0.00000000   6.70950245
0.00100000   0.00670944  -1.56317416  -1.13602492  -0.00445025   3.65316464  -2.19172813   0.00014143   0.00000000   0.00000000   6.70950245
0.00110000   0.00738037  -1.56241195  -1.13602492  -0.00489527   3.65316464  -2.19172813   0.00017112   0.00000000   0.00000000   6.70950245
0.00120000   0.00805129  -1.56164973  -1.13602492  -0.00534030   3.65316464  -2.19172813   0.00020365   0.00000000   0.00000000   6.70950245
0.00130000   0.00872221  -1.56088752  -1.13602492  -0.00578532   3.65316464  -2.19172813   0.00023901   0.00000001   0.00000000   6.70950245
0.00140000   0.00939313  -1.56012530  -1.13602492  -0.00623035   3.65316464  -2.19172813   0.00027719   0.00000001   0.00000000   6.70950245
0.00150000   0.01006403  -1.55936308  -1.13602492  -0.00667537   3.65316464  -2.19172813   0.00031821   0.00000001   0.00000000   6.70950245
0.00160000   0.01073494  -1.55860087  -1.13602492  -0.00712040   3.65316464  -2.19172813   0.00036205   0.00000001   0.00000000   6.70950245
0.00170000   0.01140583  -1.55783865  -1.13602492  -0.00756542   3.65316464  -2.19172813   0.00040872   0.00000002   0.00000000   6.70950245
0.00180000   0.01207673  -1.55707644  -1.13602492  -0.00801045   3.65316464  -2.19172813   0.00045821   0.00000002   0.00000000   6.70950245
0.00190000   0.01274761  -1.55631422  -1.13602492  -0.00845547   3.65316464  -2.19172813   0.00051054   0.00000002   0.00000000   6.70950245
0.00200000   0.01341849  -1.55555200  -1.13602492  -0.00890050   3.65316464  -2.19172813   0.00056569   0.00000003   0.00000000   6.70950245
0.00210000   0.01408935  -1.55478979  -1.13602492  -0.00934552   3.65316464  -2.19172813   0.00062368   0.00000004   0.00000000   6.70950245
0.00220000   0.01476021  -1.55402757  -1.13602492  -0.00979055   3.65316464  -2.19172813   0.00068449   0.00000004   0.00000000   6.70950245
0.00230000   0.01543107  -1.55326535  -1.13602492  -0.01023557   3.65316464  -2.19172813   0.00074813   0.00000005   0.00000000   6.70950245
0.00240000   0.01610191  -1.55250314  -1.13602492  -0.01068060   3.65316464  -2.19172813   0.00081459   0.00000006   0.00000000   6.70950245
0.00250000   0.01677274  -1.55174092  -1.13602492  -0.01112562   3.65316464  -2.19172813   0.00088389   0.00000007   0.00000000   6.70950245
0.00260000   0.01744356  -1.55097871  -1.13602492  -0.01157065   3.65316464  -2.19172813   0.00095601   0.00000008   0.00000000   6.70950245
0.00270000   0.01811438  -1.55021649  -1.13602492  -0.01201567   3.65316464  -2.19172813   0.00103096   0.00000010   0.00000000   6.70950245
0.00280000   0.01878518  -1.54945427  -1.13602492  -0.01246070   3.65316464  -2.19172813   0.00110874   0.00000011   0.00000000   6.70950245
0.00290000   0.01945597  -1.54869206  -1.13602492  -0.01290572   3.65316464  -2.19172813   0.00118935   0.00000013   0.00000000   6.70950245
0.00300000   0.02012675  -1.54792984  -1.13602492  -0.01335074   3.65316464  -2.19172813   0.00127278   0.00000015   0.00000000   6.70950245
0.00310000   0.02079752  -1.54716762  -1.13602492  -0.01379577   3.65316464  -2.19172813   0.00135904   0.00000017   0.00000000   6.70950245
0.00320000   0.02146828  -1.54640541  -1.13602492  -0.01424079   3.65316464  -2.19172813   0.00144813   0.00000019   0.00000000   6.70950245
0.00330000   0.02213902  -1.54564319  -1.13602492  -0.01468582   3.65316464  -2.19172813   0.00154005   0.00000021   0.00000000   6.70950245
0.00340000   0.02280975  -1.54488098  -1.13602492  -0.01513084   3.65316464  -2.19172813   0.00163480   0.00000024   0.00000000   6.70950245
0.00350000   0.02348047  -1.54411876  -1.13602492  -0.01557587   3.65316464  -2.19172813   0.00173237   0.00000027   0.00000000   6.70950245
0.00360000   0.02415118  -1.54335654  -1.13602492  -0.01602089   3.65316464  -2.19172813   0.00183277   0.00000030   0.00000000   6.70950245
0.00370000   0.02482187  -1.54259433  -1.13602492  -0.01646592   3.65316464  -2.19172813   0.00193600   0.00000034   0.00000000   6.70950245
0.00380000   0.02549254  -1.54183211  -1.13602492  -0.01691094   3.65316464  -2.19172813   0.00204205   0.00000038   0.00000000   6.70950245
0.00390000   0.02616321  -1.54106990  -1.13602492  -0.01735597   3.65316464  -2.19172813   0.00215094   0.00000042   0.00000000   6.70950245
0.00400000   0.02683385  -1.54030768  -1.13602492  -0.01780099   3.65316464  -2.19172813   0.00226265   0.00000046   0.00000000   6.70950245
0.00410000   0.02750448  -1.53954546  -1.13602492  -0.01824602   3.65316464  -2.19172813   0.00237718   0.00000051   0.00000000   6.70950245
0.00420000   0.02817510  -1.53878325  -1.13602492  -0.01869104   3.65316464  -2.19172813   0.00249455   0.00000056   0.00000000   6.70950245
0.00430000   0.02884570  -1.53802103  -1.13602492  -0.01913607   3.65316464  -2.19172813   0.00261474   0.00000062   0.00000000   6.70950245
0.00440000   0.02951628  -1.53725881  -1.13602492  -0.01958109   3.65316464  -2.19172813   0.00273776   0.00000068   0.00000000   6.70950245
0.00450000   0.03018684  -1.53649660  -1.13602492  -0.02002612   3.65316464  -2.19172813   0.00286360   0.00000074   0.00000000   6.70950245
0.00460000   0.03085739  -1.53573438  -1.13602492  -0.02047114   3.65316464  -2.19172813   0.00299228   0.00000081   0.00000000   6.70950245
0.00470000   0.03152792  -1.53497217  -1.13602492  -0.02091617   3.65316464  -2.19172813   0.00312378   0.00000088   0.00000000   6.70950245
0.00480000   0.03219843  -1.53420995  -1.13602492  -0.02136119   3.65316464  -2.19172813   0.00325810   0.00000096   0.00000000   6.70950245
0.00490000   0.03286892  -1.53344773  -1.13602492  -0.02180622   3.65316464  -2.19172813   0.00339525   0.00000104   0.00000000   6.70950245
0.00500000   0.03353939  -1.53268552  -1.13602492  -0.02225124   3.65316464  -2.19172813   0.00353523   0.00000113   0.00000000   6.70950245
0.00510000   0.03420985  -1.53192330  -1.13602492  -0.02269627   3.65316464  -2.19172813   0.00367804   0.00000122   0.00000000   6.70950245
0.00520000   0.03488028  -1.53116108  -1.13602492  -0.02314129   3.65316464  -2.19172813   0.00382367   0.00000132   0.00000000   6.70950245
0.00530000   0.03555069  -1.53039887  -1.13602492  -0.02358632   3.65316464  -2.19172813   0.00397213   0.00000143   0.00000000   6.70950245
0.00540000   0.03622108  -1.52963665  -1.13602492  -0.02403134   3.65316464  -2.19172813   0.00412341   0.00000154   0.00000000   6.70950245
0.00550000   0.03689146  -1.52887444  -1.13602492  -0.02447637   3.65316464  -2.19172813   0.00427752   0.00000165   0.00000000   6.70950245
0.00560000   0.03756181  -1.52811222  -1.13602492  -0.02492139   3.65316464  -2.19172813   0.00443446   0.00000178   0.00000000   6.70950245
0.00570000   0.03823213  -1.52735000  -1.13602492  -0.02536642   3.65316464  -2.19172813   0.00459422   0.00000191   0.00000000   6.70950245
0.00580000   0.03890244  -1.52658779  -1.13602492  -0.02581144   3.65316464  -2.19172813   0.00475681   0.00000205   0.00000000   6.70950245
0.00590000   0.03957272  -1.52582557  -1.13602492  -0.02625646   3.65316464  -2.19172813   0.00492222   0.00000219   0.00000000   6.70950245
0.00600000   0.04024298  -1.52506335  -1.13602492  -0.02670149   3.65316464  -2.19172813   0.00509046   0.00000234   0.00000000   6.70950245
0.00610000   0.04091322  -1.52430114  -1.13602492  -0.02714651   3.65316464  -2.19172813   0.00526153   0.00000250   0.00000000   6.70950245
0.00620000   0.04158343  -1.52353892  -1.13602492  -0.02759154   3.65316464  -2.19172813   0.00543542   0.00000267   0.00000000   6.70950245
