         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.14826084  -0.00000000   4.10968523  -2.43523835   0.00000000   0.00000000   0.00000000   8.74430324
0.00010000   0.00087443  -1.56979225  -1.14826084  -0.00064834   4.10968523  -2.43523835   0.00000240   0.00000000   0.00000000   8.74430324
0.00020000   0.00174886  -1.56878818  -1.14826084  -0.00129669   4.10968523  -2.43523835   0.00000961   0.00000000   0.00000000   8.74430324
0.00030000   0.00262329  -1.56778410  -1.14826084  -0.00194503   4.10968523  -2.43523835   0.00002162   0.00000000   0.00000000   8.74430324
0.00040000   0.00349771  -1.56678003  -1.14826084  -0.00259337   4.10968523  -2.43523835   0.00003843   0.00000000   0.00000000   8.74430324
0.00050000   0.00437213  -1.56577596  -1.14826084  -0.00324172   4.10968523  -2.43523835   0.00006005   0.00000000   0.00000000   8.74430324
0.00060000   0.00524655  -1.56477188  -1.14826084  -0.00389006   4.10968523  -2.43523835   0.00008648   0.00000000   0.00000000   8.74430324
0.00070000   0.00612096  -1.56376781  -1.14826084  -0.00453840   4.10968523  -2.43523835   0.00011770   0.00000000   0.00000000   8.74430324
0.00080000   0.00699537  -1.56276373  -1.14826084  -0.00518674   4.10968523  -2.43523835   0.00015374   0.00000000   0.00000000   8.74430324
0.00090000   0.00786977  -1.56175966  -1.14826084  -0.00583509   4.10968523  -2.43523835   0.00019457   0.00000000   0.00000000   8.74430324
0.00100000   0.00874416  -1.56075559  -1.14826084  -0.00648343   4.10968523  -2.43523835   0.00024021   0.00000001   0.00000000   8.74430324
0.00110000   0.00961854  -1.55975151  -1.14826084  -0.00713177   4.10968523  -2.43523835   0.00029066   0.00000001   0.00000000   8.74430324
0.00120000   0.01049291  -1.55874744  -1.14826084  -0.00778012   4.10968523  -2.43523835   0.00034591   0.00000001   0.00000000   8.74430324
0.00130000   0.01136727  -1.55774336  -1.14826084  -0.00842846   4.10968523  -2.43523835   0.00040596   0.00000002   0.00000000   8.74430324
0.00140000   0.01224162  -1.55673929  -1.14826084  -0.00907680   4.10968523  -2.43523835   0.00047081   0.00000002   0.00000000   8.74430324
0.00150000   0.01311596  -1.55573522  -1.14826084  -0.00972515   4.10968523  -2.43523835   0.00054047   0.00000003   0.00000000   8.74430324
0.00160000   0.01399028  -1.55473114  -1.14826084  -0.01037349   4.10968523  -2.43523835   0.00061494   0.00000003   0.00000000   8.74430324
0.00170000   0.01486459  -1.55372707  -1.14826084  -0.01102183   4.10968523  -2.43523835   0.00069420   0.00000004   0.00000000   8.74430324
0.00180000   0.01573889  -1.55272299  -1.14826084  -0.01167018   4.10968523  -2.43523835   0.00077828   0.00000006   0.00000000   8.74430324
0.00190000   0.01661317  -1.55171892  -1.14826084  -0.01231852   4.10968523  -2.43523835   0.00086715   0.00000007   0.00000000   8.74430324
0.00200000   0.01748743  -1.55071484  -1.14826084  -0.01296686   4.10968523  -2.43523835   0.00096083   0.00000008   0.00000000   8.74430324
0.00210000   0.01836168  -1.54971077  -1.14826084  -0.01361520   4.10968523  -2.43523835   0.00105931   0.00000010   0.00000000   8.74430324
0.00220000   0.01923590  -1.54870670  -1.14826084  -0.01426355   4.10968523  -2.43523835   0.00116259   0.00000012   0.00000000   8.74430324
0.00230000   0.02011011  -1.54770262  -1.14826084  -0.01491189   4.10968523  -2.43523835   0.00127068   0.00000015   0.00000000   8.74430324
0.00240000   0.02098430  -1.54669855  -1.14826084  -0.01556023   4.10968523  -2.43523835   0.00138357   0.00000018   0.00000000   8.74430324
0.00250000   0.02185846  -1.54569447  -1.14826084  -0.01620858   4.10968523  -2.43523835   0.00150127   0.00000021   0.00000000   8.74430324
0.00260000   0.02273261  -1.54469040  -1.14826084  -0.01685692   4.10968523  -2.43523835   0.00162376   0.00000024   0.00000000   8.74430324
0.00270000   0.02360673  -1.54368633  -1.14826084  -0.01750526   4.10968523  -2.43523835   0.00175106   0.00000028   0.00000000   8.74430324
0.00280000   0.02448082  -1.54268225  -1.14826084  -0.01815361   4.10968523  -2.43523835   0.00188316   0.00000032   0.00000000   8.74430324
0.00290000   0.02535490  -1.54167818  -1.14826084  -0.01880195   4.10968523  -2.43523835   0.00202007   0.00000037   0.00000000   8.74430324
0.00300000   0.02622894  -1.54067410  -1.14826084  -0.01945029   4.10968523  -2.43523835   0.00216177   0.00000043   0.00000000   8.74430324
0.00310000   0.02710296  -1.53967003  -1.14826084  -0.02009863   4.10968523  -2.43523835   0.00230828   0.00000049   0.00000000   8.74430324
0.00320000   0.02797696  -1.53866596  -1.14826084  -0.02074698   4.10968523  -2.43523835   0.00245959   0.00000055   0.00000000   8.74430324
0.00330000   0.02885092  -1.53766188  -1.14826084  -0.02139532   4.10968523  -2.43523835   0.00261570   0.00000063   0.00000000   8.74430324
0.00340000   0.02972486  -1.53665781  -1.14826084  -0.02204366   4.10968523  -2.43523835   0.00277662   0.00000070   0.00000000   8.74430324
0.00350000   0.03059876  -1.53565373  -1.14826084  -0.02269201   4.10968523  -2.43523835   0.00294233   0.00000079   0.00000000   8.74430324
0.00360000   0.03147264  -1.53464966  -1.14826084  -0.02334035   4.10968523  -2.43523835   0.00311285   0.00000089   0.00000000   8.74430324
0.00370000   0.03234648  -1.53364559  -1.14826084  -0.02398869   4.10968523  -2.43523835   0.00328817   0.00000099   0.00000000   8.74430324
0.00380000   0.03322029  -1.53264151  -1.14826084  -0.02463704   4.10968523  -2.43523835   0.00346828   0.00000110   0.00000000   8.74430324
0.00390000   0.03409407  -1.53163744  -1.14826084  -0.02528538   4.10968523  -2.43523835   0.00365320   0.00000122   0.00000000   8.74430324
0.00400000   0.03496781  -1.53063336  -1.14826084  -0.02593372   4.10968523  -2.43523835   0.00384292   0.00000135   0.00000000   8.74430324
0.00410000   0.03584152  -1.52962929  -1.14826084  -0.02658207   4.10968523  -2.43523835   0.00403745   0.00000149   0.00000000   8.74430324
0.00420000   0.03671519  -1.52862521  -1.14826084  -0.02723041   4.10968523  -2.43523835   0.00423677   0.00000164   0.00000000   8.74430324
0.00430000   0.03758882  -1.52762114  -1.14826084  -0.02787875   4.10968523  -2.43523835   0.00444089   0.00000180   0.00000000   8.74430324
0.00440000   0.03846242  -1.52661707  -1.14826084  -0.02852709   4.10968523  -2.43523835   0.00464981   0.00000198   0.00000000   8.74430324
0.00450000   0.03933598  -1.52561299  -1.14826084  -0.02917544   4.10968523  -2.43523835   0.00486353   0.00000216   0.00000000   8.74430324
0.00460000   0.04020949  -1.52460892  -1.14826084  -0.02982378   4.10968523  -2.43523835   0.00508205   0.00000236   0.00000000   8.74430324
0.00470000   0.04108297  -1.52360484  -1.14826084  -0.03047212   4.10968523  -2.43523835   0.00530537   0.00000257   0.00000000   8.74430324
0.00480000   0.04195641  -1.52260077  -1.14826084  -0.03112047   4.10968523  -2.43523835   0.00553348   0.00000280   0.00000000   8.74430324
0.00490000   0.04282980  -1.52159670  -1.14826084  -0.03176881   4.10968523  -2.43523835   0.00576640   0.00000304   0.00000000   8.74430324
0.00500000   0.04370315  -1.52059262  -1.14826084  -0.03241715   4.10968523  -2.43523835   0.00600412   0.00000329   0.00000000   8.74430324
0.00510000   0.04457646  -1.51958855  -1.14826084  -0.03306550   4.10968523  -2.43523835   0.00624663   0.00000357   0.00000000   8.74430324
0.00520000   0.04544972  -1.51858447  -1.14826084  -0.03371384   4.10968523  -2.43523835   0.00649394   0.00000385   0.00000000   8.74430324
0.00530000   0.04632294  -1.51758040  -1.14826084  -0.03436218   4.10968523  -2.43523835   0.00674605   0.00000416   0.00000000   8.74430324
0.00540000   0.04719610  -1.51657633  -1.14826084  -0.03501053   4.10968523  -2.43523835   0.00700296   0.00000448   0.00000000   8.74430324
0.00550000   0.04806923  -1.51557225  -1.14826084  -0.03565887   4.10968523  -2.43523835   0.00726466   0.00000482   0.00000000   8.74430324
0.00560000   0.04894230  -1.51456818  -1.14826084  -0.03630721   4.10968523  -2.43523835   0.00753116   0.00000518   0.00000000   8.74430324
0.00570000   0.04981532  -1.51356410  -1.14826084  -0.03695555   4.10968523  -2.43523835   0.00780246   0.00000556   0.00000000   8.74430324
0.00580000   0.05068830  -1.51256003  -1.14826084  -0.03760390   4.10968523  -2.43523835   0.00807855   0.00000596   0.00000000   8.74430324
0.00590000   0.05156122  -1.51155595  -1.14826084  -0.03825224   4.10968523  -2.43523835   0.00835944   0.00000638   0.00000000   8.74430324
0.00600000   0.05243409  -1.51055188  -1.14826084  -0.03890058   4.10968523  -2.43523835   0.00864513   0.00000683   0.00000000   8.74430324
0.00610000   0.05330691  -1.50954781  -1.14826084  -0.03954893   4.10968523  -2.43523835   0.00893561   0.00000729   0.00000000   8.74430324
0.00620000   0.05417967  -1.50854373  -1.14826084  -0.04019727   4.10968523  -2.43523835   0.00923089   0.00000778   0.00000000   8.74430324
0.00630000   0.05505238  -1.50753966  -1.14826084  -0.04084561   4.10968523  -2.43523835   0.00953096   0.00000830   0.00000000   8.74430324
0.00640000   0.05592503  -1.50653558  -1.14826084  -0.04149396   4.10968523  -2.43523835   0.00983582   0.00000884   0.00000000   8.74430324
0.00650000   0.05679763  -1.50553151  -1.14826084  -0.04214230   4.10968523  -2.43523835   0.01014548   0.00000940   0.00000000   8.74430324
0.00660000   0.05767017  -1.50452744  -1.14826084  -0.04279064   4.10968523  -2.43523835   0.01045994   0.00000999   0.00000000   8.74430324
0.00670000   0.05854265  -1.50352336  -1.14826084  -0.04343898   4.10968523  -2.43523835   0.01077919   0.00001061   0.00000000   8.74430324
0.00680000   0.05941507  -1.50251929  -1.14826084  -0.04408733   4.10968523  -2.43523835   0.01110323   0.00001126   0.00000000   8.74430324
0.00690000   0.06028744  -1.50151521  -1.14826084  -0.04473567   4.10968523  -2.43523835   0.01143207   0.00001194   0.00000000   8.74430324
0.00700000   0.06115974  -1.50051114  -1.14826084  -0.04538401   4.10968523  -2.43523835   0.01176569   0.00001264   0.00000000   8.74430324
0.00710000   0.06203198  -1.49950707  -1.14826084  -0.04603236   4.10968523  -2.43523835   0.01210411   0.00001338   0.00000000   8.74430324
0.00720000   0.06290416  -1.49850299  -1.14826084  -0.04668070   4.10968523  -2.43523835   0.01244733   0.00001415   0.00000000   8.74430324
0.00730000   0.06377627  -1.49749892  -1.14826084  -0.04732904   4.10968523  -2.43523835   0.01279533   0.00001495   0.00000000   8.74430324
0.00740000   0.06464832  -1.49649484  -1.14826084  -0.04797739   4.10968523  -2.43523835   0.01314813   0.00001578   0.00000000   8.74430324
0.00750000   0.06552031  -1.49549077  -1.14826084  -0.04862573   4.10968523  -2.43523835   0.01350571   0.00001665   0.00000000   8.74430324
0.00760000   0.06639223  -1.49448670  -1.14826084  -0.04927407   4.10968523  -2.43523835   0.01386809   0.00001756   0.00000000   8.74430324
0.00770000   0.06726408  -1.49348262  -1.14826084  -0.04992242   4.10968523  -2.43523835   0.01423526   0.00001850   0.00000000   8.74430324
0.00780000   0.06813586  -1.49247855  -1.14826084  -0.05057076   4.10968523  -2.43523835   0.01460722   0.00001948   0.00000000   8.74430324
0.00790000   0.06900758  -1.49147447  -1.14826084  -0.05121910   4.10968523  -2.43523835   0.01498396   0.00002050   0.00000000   8.74430324
0.00800000   0.06987922  -1.49047040  -1.14826084  -0.05186744   4.10968523  -2.43523835   0.01536550   0.00002155   0.00000000   8.74430324
0.00810000   0.07075080  -1.48946632  -1.14826084  -0.05251579   4.10968523  -2.43523835   0.01575183   0.00002265   0.00000000   8.74430324
0.00820000   0.07162230  -1.48846225  -1.14826084  -0.05316413   4.10968523  -2.43523835   0.01614294   0.00002379   0.00000000   8.74430324
0.00830000   0.07249373  -1.48745818  -1.14826084  -0.05381247   4.10968523  -2.43523835   0.01653884   0.00002497   0.00000000   8.74430324
0.00840000   0.07336509  -1.48645410  -1.14826084  -0.05446082   4.10968523  -2.43523835   0.01693953   0.00002619   0.00000000   8.74430324
0.00850000   0.07423638  -1.48545003  -1.14826084  -0.05510916   4.10968523  -2.43523835   0.01734501   0.00002746   0.00000000   8.74430324
0.00860000   0.07510759  -1.48444595  -1.14826084  -0.05575750   4.10968523  -2.43523835   0.01775527   0.00002877   0.00000000   8.74430324
0.00870000   0.07597872  -1.48344188  -1.14826084  -0.05640585   4.10968523  -2.43523835   0.01817032   0.00003013   0.00000000   8.74430324
0.00880000   0.07684978  -1.48243781  -1.14826084  -0.05705419   4.10968523  -2.43523835   0.01859016   0.00003154   0.00000000   8.74430324
0.00890000   0.07772076  -1.48143373  -1.14826084  -0.05770253   4.10968523  -2.43523835   0.01901478   0.00003300   0.00000000   8.74430324
