         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.22341145  -0.00000000   4.56271450  -2.54188588   0.00000000   0.00000000   0.00000000   6.23025220
0.00010000   0.00062303  -1.57003411  -1.22341145  -0.00051612   4.56271450  -2.54188588   0.00000122   0.00000000   0.00000000   6.23025220
0.00020000   0.00124605  -1.56927189  -1.22341145  -0.00103225   4.56271450  -2.54188588   0.00000488   0.00000000   0.00000000   6.23025220
0.00030000   0.00186907  -1.56850968  -1.22341145  -0.00154837   4.56271450  -2.54188588   0.00001097   0.00000000   0.00000000   6.23025220
0.00040000   0.00249210  -1.56774746  -1.22341145  -0.00206449   4.56271450  -2.54188588   0.00001951   0.00000000   0.00000000   6.23025220
0.00050000   0.00311512  -1.56698525  -1.22341145  -0.00258062   4.56271450  -2.54188588   0.00003049   0.00000000   0.00000000   6.23025220
0.00060000   0.00373814  -1.56622303  -1.22341145  -0.00309674   4.56271450  -2.54188588   0.00004390   0.00000000   0.00000000   6.23025220
0.00070000   0.00436116  -1.56546081  -1.22341145  -0.00361286   4.56271450  -2.54188588   0.00005975   0.00000000   0.00000000   6.23025220
0.00080000   0.00498417  -1.56469860  -1.22341145  -0.00412899   4.56271450  -2.54188588   0.00007804   0.00000000   0.00000000   6.23025220
0.00090000   0.00560718  -1.56393638  -1.22341145  -0.00464511   4.56271450  -2.54188588   0.00009877   0.00000000   0.00000000   6.23025220
0.00100000   0.00623019  -1.56317416  -1.22341145  -0.00516123   4.56271450  -2.54188588   0.00012194   0.00000000   0.00000000   6.23025220
0.00110000   0.00685320  -1.56241195  -1.22341145  -0.00567736   4.56271450  -2.54188588   0.00014755   0.00000000   0.00000000   6.23025220
0.00120000   0.00747620  -1.56164973  -1.22341145  -0.00619348   4.56271450  -2.54188588   0.00017560   0.00000000   0.00000000   6.23025220
0.00130000   0.00809920  -1.56088752  -1.22341145  -0.00670961   4.56271450  -2.54188588   0.00020608   0.00000000   0.00000000   6.23025220
0.00140000   0.00872219  -1.56012530  -1.22341145  -0.00722573   4.56271450  -2.54188588   0.00023901   0.00000001   0.00000000   6.23025220
0.00150000   0.00934517  -1.55936308  -1.22341145  -0.00774185   4.56271450  -2.54188588   0.00027437   0.00000001   0.00000000   6.23025220
0.00160000   0.00996816  -1.55860087  -1.22341145  -0.00825798   4.56271450  -2.54188588   0.00031217   0.00000001   0.00000000   6.23025220
0.00170000   0.01059113  -1.55783865  -1.22341145  -0.00877410   4.56271450  -2.54188588   0.00035241   0.00000001   0.00000000   6.23025220
0.00180000   0.01121410  -1.55707644  -1.22341145  -0.00929022   4.56271450  -2.54188588   0.00039509   0.00000002   0.00000000   6.23025220
