         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.14773652  -0.00000000   3.76731790  -2.23715134   0.00000000   0.00000000   0.00000000   6.64103812
0.00010000   0.00066410  -1.57003411  -1.14773652  -0.00045425   3.76731790  -2.23715134   0.00000139   0.00000000   0.00000000   6.64103812
0.00020000   0.00132821  -1.56927189  -1.14773652  -0.00090850   3.76731790  -2.23715134   0.00000554   0.00000000   0.00000000   6.64103812
0.00030000   0.00199231  -1.56850968  -1.14773652  -0.00136274   3.76731790  -2.23715134   0.00001247   0.00000000   0.00000000   6.64103812
0.00040000   0.00265641  -1.56774746  -1.14773652  -0.00181699   3.76731790  -2.23715134   0.00002217   0.00000000   0.00000000   6.64103812
0.00050000   0.00332051  -1.56698525  -1.14773652  -0.00227124   3.76731790  -2.23715134   0.00003464   0.00000000   0.00000000   6.64103812
0.00060000   0.00398461  -1.56622303  -1.14773652  -0.00272549   3.76731790  -2.23715134   0.00004988   0.00000000   0.00000000   6.64103812
0.00070000   0.00464870  -1.56546081  -1.14773652  -0.00317974   3.76731790  -2.23715134   0.00006789   0.00000000   0.00000000   6.64103812
0.00080000   0.00531280  -1.56469860  -1.14773652  -0.00363398   3.76731790  -2.23715134   0.00008867   0.00000000   0.00000000   6.64103812
0.00090000   0.00597689  -1.56393638  -1.14773652  -0.00408823   3.76731790  -2.23715134   0.00011223   0.00000000   0.00000000   6.64103812
0.00100000   0.00664097  -1.56317416  -1.14773652  -0.00454248   3.76731790  -2.23715134   0.00013855   0.00000000   0.00000000   6.64103812
0.00110000   0.00730506  -1.56241195  -1.14773652  -0.00499673   3.76731790  -2.23715134   0.00016765   0.00000000   0.00000000   6.64103812
0.00120000   0.00796913  -1.56164973  -1.14773652  -0.00545097   3.76731790  -2.23715134   0.00019952   0.00000000   0.00000000   6.64103812
0.00130000   0.00863321  -1.56088752  -1.14773652  -0.00590522   3.76731790  -2.23715134   0.00023416   0.00000001   0.00000000   6.64103812
0.00140000   0.00929728  -1.56012530  -1.14773652  -0.00635947   3.76731790  -2.23715134   0.00027156   0.00000001   0.00000000   6.64103812
0.00150000   0.00996134  -1.55936308  -1.14773652  -0.00681372   3.76731790  -2.23715134   0.00031175   0.00000001   0.00000000   6.64103812
0.00160000   0.01062540  -1.55860087  -1.14773652  -0.00726797   3.76731790  -2.23715134   0.00035470   0.00000001   0.00000000   6.64103812
0.00170000   0.01128945  -1.55783865  -1.14773652  -0.00772221   3.76731790  -2.23715134   0.00040042   0.00000001   0.00000000   6.64103812
0.00180000   0.01195349  -1.55707644  -1.14773652  -0.00817646   3.76731790  -2.23715134   0.00044891   0.00000002   0.00000000   6.64103812
0.00190000   0.01261753  -1.55631422  -1.14773652  -0.00863071   3.76731790  -2.23715134   0.00050017   0.00000002   0.00000000   6.64103812
0.00200000   0.01328156  -1.55555200  -1.14773652  -0.00908496   3.76731790  -2.23715134   0.00055421   0.00000003   0.00000000   6.64103812
0.00210000   0.01394558  -1.55478979  -1.14773652  -0.00953921   3.76731790  -2.23715134   0.00061101   0.00000003   0.00000000   6.64103812
0.00220000   0.01460960  -1.55402757  -1.14773652  -0.00999345   3.76731790  -2.23715134   0.00067059   0.00000004   0.00000000   6.64103812
0.00230000   0.01527361  -1.55326535  -1.14773652  -0.01044770   3.76731790  -2.23715134   0.00073294   0.00000005   0.00000000   6.64103812
0.00240000   0.01593760  -1.55250314  -1.14773652  -0.01090195   3.76731790  -2.23715134   0.00079805   0.00000006   0.00000000   6.64103812
0.00250000   0.01660159  -1.55174092  -1.14773652  -0.01135620   3.76731790  -2.23715134   0.00086594   0.00000007   0.00000000   6.64103812
0.00260000   0.01726557  -1.55097871  -1.14773652  -0.01181045   3.76731790  -2.23715134   0.00093660   0.00000008   0.00000000   6.64103812
0.00270000   0.01792954  -1.55021649  -1.14773652  -0.01226469   3.76731790  -2.23715134   0.00101003   0.00000009   0.00000000   6.64103812
0.00280000   0.01859350  -1.54945427  -1.14773652  -0.01271894   3.76731790  -2.23715134   0.00108623   0.00000011   0.00000000   6.64103812
0.00290000   0.01925744  -1.54869206  -1.14773652  -0.01317319   3.76731790  -2.23715134   0.00116520   0.00000012   0.00000000   6.64103812
0.00300000   0.01992138  -1.54792984  -1.14773652  -0.01362744   3.76731790  -2.23715134   0.00124694   0.00000014   0.00000000   6.64103812
0.00310000   0.02058530  -1.54716762  -1.14773652  -0.01408168   3.76731790  -2.23715134   0.00133145   0.00000016   0.00000000   6.64103812
0.00320000   0.02124921  -1.54640541  -1.14773652  -0.01453593   3.76731790  -2.23715134   0.00141873   0.00000018   0.00000000   6.64103812
0.00330000   0.02191311  -1.54564319  -1.14773652  -0.01499018   3.76731790  -2.23715134   0.00150878   0.00000021   0.00000000   6.64103812
0.00340000   0.02257700  -1.54488098  -1.14773652  -0.01544443   3.76731790  -2.23715134   0.00160160   0.00000023   0.00000000   6.64103812
0.00350000   0.02324088  -1.54411876  -1.14773652  -0.01589868   3.76731790  -2.23715134   0.00169720   0.00000026   0.00000000   6.64103812
0.00360000   0.02390474  -1.54335654  -1.14773652  -0.01635292   3.76731790  -2.23715134   0.00179556   0.00000029   0.00000000   6.64103812
0.00370000   0.02456858  -1.54259433  -1.14773652  -0.01680717   3.76731790  -2.23715134   0.00189669   0.00000033   0.00000000   6.64103812
0.00380000   0.02523242  -1.54183211  -1.14773652  -0.01726142   3.76731790  -2.23715134   0.00200059   0.00000037   0.00000000   6.64103812
0.00390000   0.02589623  -1.54106990  -1.14773652  -0.01771567   3.76731790  -2.23715134   0.00210726   0.00000041   0.00000000   6.64103812
0.00400000   0.02656004  -1.54030768  -1.14773652  -0.01816992   3.76731790  -2.23715134   0.00221671   0.00000045   0.00000000   6.64103812
0.00410000   0.02722382  -1.53954546  -1.14773652  -0.01862416   3.76731790  -2.23715134   0.00232892   0.00000050   0.00000000   6.64103812
0.00420000   0.02788760  -1.53878325  -1.14773652  -0.01907841   3.76731790  -2.23715134   0.00244390   0.00000055   0.00000000   6.64103812
0.00430000   0.02855135  -1.53802103  -1.14773652  -0.01953266   3.76731790  -2.23715134   0.00256165   0.00000060   0.00000000   6.64103812
0.00440000   0.02921509  -1.53725881  -1.14773652  -0.01998691   3.76731790  -2.23715134   0.00268217   0.00000066   0.00000000   6.64103812
0.00450000   0.02987881  -1.53649660  -1.14773652  -0.02044116   3.76731790  -2.23715134   0.00280546   0.00000072   0.00000000   6.64103812
0.00460000   0.03054252  -1.53573438  -1.14773652  -0.02089540   3.76731790  -2.23715134   0.00293152   0.00000079   0.00000000   6.64103812
0.00470000   0.03120620  -1.53497217  -1.14773652  -0.02134965   3.76731790  -2.23715134   0.00306035   0.00000086   0.00000000   6.64103812
0.00480000   0.03186987  -1.53420995  -1.14773652  -0.02180390   3.76731790  -2.23715134   0.00319195   0.00000093   0.00000000   6.64103812
0.00490000   0.03253352  -1.53344773  -1.14773652  -0.02225815   3.76731790  -2.23715134   0.00332632   0.00000101   0.00000000   6.64103812
