         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.35507856   0.00000000   8.54454864  -4.45398576   0.00000000   0.00000000   0.00000000   3.77477034
0.00010000   0.00037748  -1.57028482  -1.35507856  -0.00066558   8.54454864  -4.45398576   0.00000045   0.00000000   0.00000000   3.77477034
0.00020000   0.00075495  -1.56977330  -1.35507856  -0.00133115   8.54454864  -4.45398576   0.00000179   0.00000000   0.00000000   3.77477034
0.00030000   0.00113243  -1.56926179  -1.35507856  -0.00199673   8.54454864  -4.45398576   0.00000403   0.00000000   0.00000000   3.77477034
0.00040000   0.00150991  -1.56875028  -1.35507856  -0.00266231   8.54454864  -4.45398576   0.00000716   0.00000000   0.00000000   3.77477034
0.00050000   0.00188738  -1.56823877  -1.35507856  -0.00332789   8.54454864  -4.45398576   0.00001119   0.00000000   0.00000000   3.77477034
0.00060000   0.00226486  -1.56772726  -1.35507856  -0.00399346   8.54454864  -4.45398576   0.00001612   0.00000000   0.00000000   3.77477034
0.00070000   0.00264233  -1.56721575  -1.35507856  -0.00465904   8.54454864  -4.45398576   0.00002193   0.00000000   0.00000000   3.77477034
0.00080000   0.00301981  -1.56670424  -1.35507856  -0.00532462   8.54454864  -4.45398576   0.00002865   0.00000000   0.00000000   3.77477034
0.00090000   0.00339728  -1.56619273  -1.35507856  -0.00599020   8.54454864  -4.45398576   0.00003626   0.00000000   0.00000000   3.77477034
0.00100000   0.00377475  -1.56568122  -1.35507856  -0.00665577   8.54454864  -4.45398576   0.00004476   0.00000000   0.00000000   3.77477034
0.00110000   0.00415223  -1.56516971  -1.35507856  -0.00732135   8.54454864  -4.45398576   0.00005416   0.00000000   0.00000000   3.77477034
0.00120000   0.00452970  -1.56465819  -1.35507856  -0.00798693   8.54454864  -4.45398576   0.00006446   0.00000000   0.00000000   3.77477034
0.00130000   0.00490717  -1.56414668  -1.35507856  -0.00865251   8.54454864  -4.45398576   0.00007565   0.00000000   0.00000000   3.77477034
0.00140000   0.00528463  -1.56363517  -1.35507856  -0.00931808   8.54454864  -4.45398576   0.00008774   0.00000000   0.00000000   3.77477034
0.00150000   0.00566210  -1.56312366  -1.35507856  -0.00998366   8.54454864  -4.45398576   0.00010072   0.00000000   0.00000000   3.77477034
0.00160000   0.00603957  -1.56261215  -1.35507856  -0.01064924   8.54454864  -4.45398576   0.00011460   0.00000000   0.00000000   3.77477034
0.00170000   0.00641703  -1.56210064  -1.35507856  -0.01131482   8.54454864  -4.45398576   0.00012937   0.00000000   0.00000000   3.77477034
0.00180000   0.00679449  -1.56158913  -1.35507856  -0.01198039   8.54454864  -4.45398576   0.00014504   0.00000000   0.00000000   3.77477034
0.00190000   0.00717195  -1.56107762  -1.35507856  -0.01264597   8.54454864  -4.45398576   0.00016160   0.00000000   0.00000000   3.77477034
0.00200000   0.00754941  -1.56056611  -1.35507856  -0.01331155   8.54454864  -4.45398576   0.00017906   0.00000000   0.00000000   3.77477034
