         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.18452171  -0.00000000   4.51144816  -2.59147137   0.00000000   0.00000000   0.00000000   8.47662047
0.00010000   0.00084766  -1.56979225  -1.18452171  -0.00068994   4.51144816  -2.59147137   0.00000226   0.00000000   0.00000000   8.47662047
0.00020000   0.00169532  -1.56878818  -1.18452171  -0.00137988   4.51144816  -2.59147137   0.00000903   0.00000000   0.00000000   8.47662047
0.00030000   0.00254298  -1.56778410  -1.18452171  -0.00206981   4.51144816  -2.59147137   0.00002032   0.00000000   0.00000000   8.47662047
0.00040000   0.00339064  -1.56678003  -1.18452171  -0.00275975   4.51144816  -2.59147137   0.00003612   0.00000000   0.00000000   8.47662047
0.00050000   0.00423829  -1.56577596  -1.18452171  -0.00344969   4.51144816  -2.59147137   0.00005643   0.00000000   0.00000000   8.47662047
0.00060000   0.00508594  -1.56477188  -1.18452171  -0.00413963   4.51144816  -2.59147137   0.00008126   0.00000000   0.00000000   8.47662047
0.00070000   0.00593359  -1.56376781  -1.18452171  -0.00482956   4.51144816  -2.59147137   0.00011061   0.00000000   0.00000000   8.47662047
0.00080000   0.00678122  -1.56276373  -1.18452171  -0.00551950   4.51144816  -2.59147137   0.00014447   0.00000000   0.00000000   8.47662047
0.00090000   0.00762885  -1.56175966  -1.18452171  -0.00620944   4.51144816  -2.59147137   0.00018284   0.00000000   0.00000000   8.47662047
0.00100000   0.00847648  -1.56075559  -1.18452171  -0.00689938   4.51144816  -2.59147137   0.00022573   0.00000000   0.00000000   8.47662047
0.00110000   0.00932409  -1.55975151  -1.18452171  -0.00758931   4.51144816  -2.59147137   0.00027313   0.00000001   0.00000000   8.47662047
0.00120000   0.01017170  -1.55874744  -1.18452171  -0.00827925   4.51144816  -2.59147137   0.00032505   0.00000001   0.00000000   8.47662047
0.00130000   0.01101929  -1.55774336  -1.18452171  -0.00896919   4.51144816  -2.59147137   0.00038148   0.00000001   0.00000000   8.47662047
0.00140000   0.01186688  -1.55673929  -1.18452171  -0.00965913   4.51144816  -2.59147137   0.00044243   0.00000002   0.00000000   8.47662047
0.00150000   0.01271445  -1.55573522  -1.18452171  -0.01034906   4.51144816  -2.59147137   0.00050789   0.00000002   0.00000000   8.47662047
0.00160000   0.01356201  -1.55473114  -1.18452171  -0.01103900   4.51144816  -2.59147137   0.00057786   0.00000003   0.00000000   8.47662047
0.00170000   0.01440956  -1.55372707  -1.18452171  -0.01172894   4.51144816  -2.59147137   0.00065235   0.00000004   0.00000000   8.47662047
0.00180000   0.01525709  -1.55272299  -1.18452171  -0.01241888   4.51144816  -2.59147137   0.00073136   0.00000005   0.00000000   8.47662047
0.00190000   0.01610460  -1.55171892  -1.18452171  -0.01310881   4.51144816  -2.59147137   0.00081487   0.00000006   0.00000000   8.47662047
0.00200000   0.01695210  -1.55071484  -1.18452171  -0.01379875   4.51144816  -2.59147137   0.00090290   0.00000008   0.00000000   8.47662047
0.00210000   0.01779958  -1.54971077  -1.18452171  -0.01448869   4.51144816  -2.59147137   0.00099545   0.00000009   0.00000000   8.47662047
0.00220000   0.01864705  -1.54870670  -1.18452171  -0.01517863   4.51144816  -2.59147137   0.00109250   0.00000011   0.00000000   8.47662047
0.00230000   0.01949449  -1.54770262  -1.18452171  -0.01586856   4.51144816  -2.59147137   0.00119408   0.00000013   0.00000000   8.47662047
0.00240000   0.02034192  -1.54669855  -1.18452171  -0.01655850   4.51144816  -2.59147137   0.00130016   0.00000016   0.00000000   8.47662047
0.00250000   0.02118933  -1.54569447  -1.18452171  -0.01724844   4.51144816  -2.59147137   0.00141076   0.00000019   0.00000000   8.47662047
0.00260000   0.02203671  -1.54469040  -1.18452171  -0.01793838   4.51144816  -2.59147137   0.00152587   0.00000022   0.00000000   8.47662047
0.00270000   0.02288407  -1.54368633  -1.18452171  -0.01862831   4.51144816  -2.59147137   0.00164549   0.00000026   0.00000000   8.47662047
0.00280000   0.02373141  -1.54268225  -1.18452171  -0.01931825   4.51144816  -2.59147137   0.00176963   0.00000030   0.00000000   8.47662047
0.00290000   0.02457873  -1.54167818  -1.18452171  -0.02000819   4.51144816  -2.59147137   0.00189828   0.00000034   0.00000000   8.47662047
0.00300000   0.02542602  -1.54067410  -1.18452171  -0.02069813   4.51144816  -2.59147137   0.00203144   0.00000039   0.00000000   8.47662047
0.00310000   0.02627328  -1.53967003  -1.18452171  -0.02138807   4.51144816  -2.59147137   0.00216912   0.00000044   0.00000000   8.47662047
0.00320000   0.02712052  -1.53866596  -1.18452171  -0.02207800   4.51144816  -2.59147137   0.00231131   0.00000050   0.00000000   8.47662047
0.00330000   0.02796773  -1.53766188  -1.18452171  -0.02276794   4.51144816  -2.59147137   0.00245801   0.00000057   0.00000000   8.47662047
0.00340000   0.02881491  -1.53665781  -1.18452171  -0.02345788   4.51144816  -2.59147137   0.00260922   0.00000064   0.00000000   8.47662047
0.00350000   0.02966207  -1.53565373  -1.18452171  -0.02414782   4.51144816  -2.59147137   0.00276495   0.00000072   0.00000000   8.47662047
0.00360000   0.03050919  -1.53464966  -1.18452171  -0.02483775   4.51144816  -2.59147137   0.00292518   0.00000081   0.00000000   8.47662047
0.00370000   0.03135628  -1.53364559  -1.18452171  -0.02552769   4.51144816  -2.59147137   0.00308993   0.00000090   0.00000000   8.47662047
0.00380000   0.03220334  -1.53264151  -1.18452171  -0.02621763   4.51144816  -2.59147137   0.00325919   0.00000100   0.00000000   8.47662047
0.00390000   0.03305037  -1.53163744  -1.18452171  -0.02690757   4.51144816  -2.59147137   0.00343296   0.00000111   0.00000000   8.47662047
0.00400000   0.03389737  -1.53063336  -1.18452171  -0.02759750   4.51144816  -2.59147137   0.00361124   0.00000123   0.00000000   8.47662047
0.00410000   0.03474433  -1.52962929  -1.18452171  -0.02828744   4.51144816  -2.59147137   0.00379404   0.00000136   0.00000000   8.47662047
0.00420000   0.03559125  -1.52862521  -1.18452171  -0.02897738   4.51144816  -2.59147137   0.00398134   0.00000149   0.00000000   8.47662047
0.00430000   0.03643814  -1.52762114  -1.18452171  -0.02966732   4.51144816  -2.59147137   0.00417316   0.00000164   0.00000000   8.47662047
0.00440000   0.03728500  -1.52661707  -1.18452171  -0.03035725   4.51144816  -2.59147137   0.00436948   0.00000180   0.00000000   8.47662047
0.00450000   0.03813181  -1.52561299  -1.18452171  -0.03104719   4.51144816  -2.59147137   0.00457032   0.00000197   0.00000000   8.47662047
0.00460000   0.03897859  -1.52460892  -1.18452171  -0.03173713   4.51144816  -2.59147137   0.00477566   0.00000215   0.00000000   8.47662047
0.00470000   0.03982533  -1.52360484  -1.18452171  -0.03242707   4.51144816  -2.59147137   0.00498552   0.00000234   0.00000000   8.47662047
0.00480000   0.04067203  -1.52260077  -1.18452171  -0.03311700   4.51144816  -2.59147137   0.00519988   0.00000255   0.00000000   8.47662047
0.00490000   0.04151869  -1.52159670  -1.18452171  -0.03380694   4.51144816  -2.59147137   0.00541876   0.00000277   0.00000000   8.47662047
0.00500000   0.04236530  -1.52059262  -1.18452171  -0.03449688   4.51144816  -2.59147137   0.00564214   0.00000300   0.00000000   8.47662047
0.00510000   0.04321187  -1.51958855  -1.18452171  -0.03518682   4.51144816  -2.59147137   0.00587004   0.00000325   0.00000000   8.47662047
0.00520000   0.04405840  -1.51858447  -1.18452171  -0.03587675   4.51144816  -2.59147137   0.00610244   0.00000351   0.00000000   8.47662047
0.00530000   0.04490489  -1.51758040  -1.18452171  -0.03656669   4.51144816  -2.59147137   0.00633935   0.00000379   0.00000000   8.47662047
0.00540000   0.04575133  -1.51657633  -1.18452171  -0.03725663   4.51144816  -2.59147137   0.00658077   0.00000408   0.00000000   8.47662047
0.00550000   0.04659772  -1.51557225  -1.18452171  -0.03794657   4.51144816  -2.59147137   0.00682669   0.00000439   0.00000000   8.47662047
0.00560000   0.04744407  -1.51456818  -1.18452171  -0.03863650   4.51144816  -2.59147137   0.00707713   0.00000472   0.00000000   8.47662047
0.00570000   0.04829036  -1.51356410  -1.18452171  -0.03932644   4.51144816  -2.59147137   0.00733207   0.00000507   0.00000000   8.47662047
0.00580000   0.04913661  -1.51256003  -1.18452171  -0.04001638   4.51144816  -2.59147137   0.00759152   0.00000543   0.00000000   8.47662047
0.00590000   0.04998281  -1.51155596  -1.18452171  -0.04070632   4.51144816  -2.59147137   0.00785547   0.00000581   0.00000000   8.47662047
0.00600000   0.05082896  -1.51055188  -1.18452171  -0.04139626   4.51144816  -2.59147137   0.00812394   0.00000622   0.00000000   8.47662047
0.00610000   0.05167506  -1.50954781  -1.18452171  -0.04208619   4.51144816  -2.59147137   0.00839690   0.00000664   0.00000000   8.47662047
0.00620000   0.05252111  -1.50854373  -1.18452171  -0.04277613   4.51144816  -2.59147137   0.00867438   0.00000709   0.00000000   8.47662047
0.00630000   0.05336710  -1.50753966  -1.18452171  -0.04346607   4.51144816  -2.59147137   0.00895636   0.00000756   0.00000000   8.47662047
0.00640000   0.05421304  -1.50653558  -1.18452171  -0.04415601   4.51144816  -2.59147137   0.00924285   0.00000805   0.00000000   8.47662047
0.00650000   0.05505893  -1.50553151  -1.18452171  -0.04484594   4.51144816  -2.59147137   0.00953384   0.00000856   0.00000000   8.47662047
0.00660000   0.05590476  -1.50452744  -1.18452171  -0.04553588   4.51144816  -2.59147137   0.00982934   0.00000910   0.00000000   8.47662047
0.00670000   0.05675053  -1.50352336  -1.18452171  -0.04622582   4.51144816  -2.59147137   0.01012934   0.00000967   0.00000000   8.47662047
0.00680000   0.05759624  -1.50251929  -1.18452171  -0.04691576   4.51144816  -2.59147137   0.01043385   0.00001026   0.00000000   8.47662047
0.00690000   0.05844190  -1.50151521  -1.18452171  -0.04760569   4.51144816  -2.59147137   0.01074286   0.00001087   0.00000000   8.47662047
0.00700000   0.05928750  -1.50051114  -1.18452171  -0.04829563   4.51144816  -2.59147137   0.01105637   0.00001152   0.00000000   8.47662047
0.00710000   0.06013304  -1.49950707  -1.18452171  -0.04898557   4.51144816  -2.59147137   0.01137439   0.00001219   0.00000000   8.47662047
0.00720000   0.06097852  -1.49850299  -1.18452171  -0.04967551   4.51144816  -2.59147137   0.01169691   0.00001289   0.00000000   8.47662047
0.00730000   0.06182394  -1.49749892  -1.18452171  -0.05036544   4.51144816  -2.59147137   0.01202393   0.00001362   0.00000000   8.47662047
0.00740000   0.06266929  -1.49649484  -1.18452171  -0.05105538   4.51144816  -2.59147137   0.01235546   0.00001438   0.00000000   8.47662047
0.00750000   0.06351458  -1.49549077  -1.18452171  -0.05174532   4.51144816  -2.59147137   0.01269149   0.00001517   0.00000000   8.47662047
0.00760000   0.06435981  -1.49448670  -1.18452171  -0.05243526   4.51144816  -2.59147137   0.01303202   0.00001600   0.00000000   8.47662047
0.00770000   0.06520497  -1.49348262  -1.18452171  -0.05312519   4.51144816  -2.59147137   0.01337705   0.00001685   0.00000000   8.47662047
0.00780000   0.06605007  -1.49247855  -1.18452171  -0.05381513   4.51144816  -2.59147137   0.01372659   0.00001775   0.00000000   8.47662047
0.00790000   0.06689510  -1.49147447  -1.18452171  -0.05450507   4.51144816  -2.59147137   0.01408062   0.00001867   0.00000000   8.47662047
0.00800000   0.06774006  -1.49047040  -1.18452171  -0.05519501   4.51144816  -2.59147137   0.01443915   0.00001963   0.00000000   8.47662047
0.00810000   0.06858496  -1.48946632  -1.18452171  -0.05588494   4.51144816  -2.59147137   0.01480219   0.00002063   0.00000000   8.47662047
0.00820000   0.06942978  -1.48846225  -1.18452171  -0.05657488   4.51144816  -2.59147137   0.01516972   0.00002167   0.00000000   8.47662047
0.00830000   0.07027454  -1.48745818  -1.18452171  -0.05726482   4.51144816  -2.59147137   0.01554176   0.00002275   0.00000000   8.47662047
0.00840000   0.07111922  -1.48645410  -1.18452171  -0.05795476   4.51144816  -2.59147137   0.01591829   0.00002386   0.00000000   8.47662047
0.00850000   0.07196384  -1.48545003  -1.18452171  -0.05864469   4.51144816  -2.59147137   0.01629932   0.00002502   0.00000000   8.47662047
0.00860000   0.07280838  -1.48444595  -1.18452171  -0.05933463   4.51144816  -2.59147137   0.01668485   0.00002621   0.00000000   8.47662047
0.00870000   0.07365284  -1.48344188  -1.18452171  -0.06002457   4.51144816  -2.59147137   0.01707488   0.00002745   0.00000000   8.47662047
0.00880000   0.07449724  -1.48243781  -1.18452171  -0.06071451   4.51144816  -2.59147137   0.01746940   0.00002873   0.00000000   8.47662047
0.00890000   0.07534155  -1.48143373  -1.18452171  -0.06140445   4.51144816  -2.59147137   0.01786843   0.00003006   0.00000000   8.47662047
0.00900000   0.07618579  -1.48042966  -1.18452171  -0.06209438   4.51144816  -2.59147137   0.01827194   0.00003143   0.00000000   8.47662047
0.00910000   0.07702996  -1.47942558  -1.18452171  -0.06278432   4.51144816  -2.59147137   0.01867996   0.00003285   0.00000000   8.47662047
0.00920000   0.07787405  -1.47842151  -1.18452171  -0.06347426   4.51144816  -2.59147137   0.01909247   0.00003432   0.00000000   8.47662047
0.00930000   0.07871806  -1.47741744  -1.18452171  -0.06416420   4.51144816  -2.59147137   0.01950948   0.00003583   0.00000000   8.47662047
0.00940000   0.07956198  -1.47641336  -1.18452171  -0.06485413   4.51144816  -2.59147137   0.01993098   0.00003739   0.00000000   8.47662047
0.00950000   0.08040583  -1.47540929  -1.18452171  -0.06554407   4.51144816  -2.59147137   0.02035697   0.00003901   0.00000000   8.47662047
0.00960000   0.08124960  -1.47440521  -1.18452171  -0.06623401   4.51144816  -2.59147137   0.02078746   0.00004067   0.00000000   8.47662047
0.00970000   0.08209329  -1.47340114  -1.18452171  -0.06692395   4.51144816  -2.59147137   0.02122245   0.00004239   0.00000000   8.47662047
0.00980000   0.08293689  -1.47239707  -1.18452171  -0.06761388   4.51144816  -2.59147137   0.02166192   0.00004416   0.00000000   8.47662047
0.00990000   0.08378041  -1.47139299  -1.18452171  -0.06830382   4.51144816  -2.59147137   0.02210589   0.00004599   0.00000000   8.47662047
0.01000000   0.08462385  -1.47038892  -1.18452171  -0.06899376   4.51144816  -2.59147137   0.02255436   0.00004787   0.00000000   8.47662047
0.01010000   0.08546720  -1.46938487  -1.18446322  -0.06968596   4.51144816  -2.59147137   0.02300731   0.00004982   0.00000000   8.47662047
0.01020000   0.08631046  -1.46838087  -1.18440471  -0.07037806   4.51144816  -2.59147137   0.02346475   0.00005181   0.00000000   8.47662047
0.01030000   0.08715364  -1.46737692  -1.18434617  -0.07107006   4.51144816  -2.59147137   0.02392669   0.00005387   0.00000000   8.47662047
0.01040000   0.08799673  -1.46637302  -1.18428757  -0.07176196   4.51144816  -2.59147137   0.02439312   0.00005599   0.00000000   8.47662047
0.01050000   0.08883973  -1.46536917  -1.18422890  -0.07245375   4.51144816  -2.59147137   0.02486403   0.00005817   0.00000000   8.47662047
0.01060000   0.08968264  -1.46436537  -1.18417016  -0.07314543   4.51144816  -2.59147137   0.02533944   0.00006042   0.00000000   8.47662047
0.01070000   0.09052546  -1.46336161  -1.18411132  -0.07383702   4.51144816  -2.59147137   0.02581934   0.00006272   0.00000000   8.47662047
0.01080000   0.09136819  -1.46235791  -1.18405236  -0.07452851   4.51144816  -2.59147137   0.02630372   0.00006510   0.00000000   8.47662047
0.01090000   0.09221082  -1.46135426  -1.18399329  -0.07521989   4.51144816  -2.59147137   0.02679259   0.00006754   0.00000000   8.47662047
0.01100000   0.09305337  -1.46035066  -1.18393409  -0.07591117   4.51144816  -2.59147137   0.02728595   0.00007004   0.00000000   8.47662047
0.01110000   0.09389582  -1.45934711  -1.18387475  -0.07660236   4.51144816  -2.59147137   0.02778380   0.00007262   0.00000000   8.47662047
0.01120000   0.09473817  -1.45834361  -1.18381526  -0.07729344   4.51144816  -2.59147137   0.02828614   0.00007527   0.00000000   8.47662047
0.01130000   0.09558043  -1.45734016  -1.18375560  -0.07798442   4.51144816  -2.59147137   0.02879296   0.00007798   0.00000000   8.47662047
0.01140000   0.09642260  -1.45633676  -1.18369578  -0.07867530   4.51144816  -2.59147137   0.02930426   0.00008077   0.00000000   8.47662047
0.01150000   0.09726466  -1.45533341  -1.18363577  -0.07936609   4.51144816  -2.59147137   0.02982005   0.00008364   0.00000000   8.47662047
0.01160000   0.09810663  -1.45433011  -1.18357558  -0.08005677   4.51144816  -2.59147137   0.03034033   0.00008658   0.00000000   8.47662047
0.01170000   0.09894850  -1.45332687  -1.18351518  -0.08074736   4.51144816  -2.59147137   0.03086509   0.00008960   0.00000000   8.47662047
0.01180000   0.09979027  -1.45232367  -1.18345458  -0.08143784   4.51144816  -2.59147137   0.03139433   0.00009269   0.00000000   8.47662047
0.01190000   0.10063194  -1.45132053  -1.18339377  -0.08212823   4.51144816  -2.59147137   0.03192806   0.00009587   0.00000000   8.47662047
0.01200000   0.10147351  -1.45031744  -1.18333273  -0.08281851   4.51144816  -2.59147137   0.03246627   0.00009912   0.00000000   8.47662047
0.01210000   0.10231498  -1.44931440  -1.18327146  -0.08350870   4.51144816  -2.59147137   0.03300896   0.00010246   0.00000000   8.47662047
0.01220000   0.10315634  -1.44831141  -1.18320996  -0.08419879   4.51144816  -2.59147137   0.03355613   0.00010588   0.00000000   8.47662047
0.01230000   0.10399760  -1.44730847  -1.18314821  -0.08488878   4.51144816  -2.59147137   0.03410778   0.00010938   0.00000000   8.47662047
0.01240000   0.10483875  -1.44630559  -1.18308621  -0.08557867   4.51144816  -2.59147137   0.03466391   0.00011298   0.00000000   8.47662047
0.01250000   0.10567980  -1.44530276  -1.18302396  -0.08626846   4.51144816  -2.59147137   0.03522453   0.00011665   0.00000000   8.47662047
0.01260000   0.10652075  -1.44429998  -1.18296145  -0.08695815   4.51144816  -2.59147137   0.03578962   0.00012042   0.00000000   8.47662047
0.01270000   0.10736158  -1.44329725  -1.18289867  -0.08764775   4.51144816  -2.59147137   0.03635919   0.00012428   0.00000000   8.47662047
0.01280000   0.10820231  -1.44229458  -1.18283561  -0.08833724   4.51144816  -2.59147137   0.03693324   0.00012823   0.00000000   8.47662047
0.01290000   0.10904293  -1.44129196  -1.18277229  -0.08902663   4.51144816  -2.59147137   0.03751176   0.00013227   0.00000000   8.47662047
0.01300000   0.10988344  -1.44028940  -1.18270867  -0.08971593   4.51144816  -2.59147137   0.03809477   0.00013641   0.00000000   8.47662047
