         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.16411403  -0.00000000   4.33397252  -2.49963769   0.00000000   0.00000000   0.00000000   7.35888791
0.00010000   0.00073589  -1.56993967  -1.16411403  -0.00054667   4.33397252  -2.49963769   0.00000170   0.00000000   0.00000000   7.35888791
0.00020000   0.00147178  -1.56908301  -1.16411403  -0.00109335   4.33397252  -2.49963769   0.00000681   0.00000000   0.00000000   7.35888791
0.00030000   0.00220766  -1.56822635  -1.16411403  -0.00164002   4.33397252  -2.49963769   0.00001531   0.00000000   0.00000000   7.35888791
0.00040000   0.00294355  -1.56736969  -1.16411403  -0.00218670   4.33397252  -2.49963769   0.00002722   0.00000000   0.00000000   7.35888791
0.00050000   0.00367943  -1.56651303  -1.16411403  -0.00273337   4.33397252  -2.49963769   0.00004253   0.00000000   0.00000000   7.35888791
0.00060000   0.00441531  -1.56565638  -1.16411403  -0.00328005   4.33397252  -2.49963769   0.00006125   0.00000000   0.00000000   7.35888791
0.00070000   0.00515119  -1.56479972  -1.16411403  -0.00382672   4.33397252  -2.49963769   0.00008336   0.00000000   0.00000000   7.35888791
0.00080000   0.00588706  -1.56394306  -1.16411403  -0.00437340   4.33397252  -2.49963769   0.00010888   0.00000000   0.00000000   7.35888791
0.00090000   0.00662293  -1.56308640  -1.16411403  -0.00492007   4.33397252  -2.49963769   0.00013780   0.00000000   0.00000000   7.35888791
0.00100000   0.00735880  -1.56222974  -1.16411403  -0.00546675   4.33397252  -2.49963769   0.00017013   0.00000000   0.00000000   7.35888791
0.00110000   0.00809466  -1.56137308  -1.16411403  -0.00601342   4.33397252  -2.49963769   0.00020585   0.00000000   0.00000000   7.35888791
0.00120000   0.00883051  -1.56051643  -1.16411403  -0.00656010   4.33397252  -2.49963769   0.00024498   0.00000001   0.00000000   7.35888791
0.00130000   0.00956636  -1.55965977  -1.16411403  -0.00710677   4.33397252  -2.49963769   0.00028751   0.00000001   0.00000000   7.35888791
0.00140000   0.01030220  -1.55880311  -1.16411403  -0.00765345   4.33397252  -2.49963769   0.00033345   0.00000001   0.00000000   7.35888791
0.00150000   0.01103803  -1.55794645  -1.16411403  -0.00820012   4.33397252  -2.49963769   0.00038278   0.00000001   0.00000000   7.35888791
0.00160000   0.01177385  -1.55708979  -1.16411403  -0.00874680   4.33397252  -2.49963769   0.00043552   0.00000002   0.00000000   7.35888791
0.00170000   0.01250967  -1.55623313  -1.16411403  -0.00929347   4.33397252  -2.49963769   0.00049166   0.00000002   0.00000000   7.35888791
0.00180000   0.01324547  -1.55537647  -1.16411403  -0.00984015   4.33397252  -2.49963769   0.00055120   0.00000003   0.00000000   7.35888791
