         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.34034944   0.00000000   8.26893963  -4.35768621   0.00000000   0.00000000   0.00000000   3.81625133
0.00010000   0.00038163  -1.57028482  -1.34034944  -0.00065119   8.26893963  -4.35768621   0.00000046   0.00000000   0.00000000   3.81625133
0.00020000   0.00076325  -1.56977330  -1.34034944  -0.00130237   8.26893963  -4.35768621   0.00000183   0.00000000   0.00000000   3.81625133
0.00030000   0.00114487  -1.56926179  -1.34034944  -0.00195356   8.26893963  -4.35768621   0.00000412   0.00000000   0.00000000   3.81625133
0.00040000   0.00152650  -1.56875028  -1.34034944  -0.00260475   8.26893963  -4.35768621   0.00000732   0.00000000   0.00000000   3.81625133
0.00050000   0.00190812  -1.56823877  -1.34034944  -0.00325593   8.26893963  -4.35768621   0.00001144   0.00000000   0.00000000   3.81625133
0.00060000   0.00228975  -1.56772726  -1.34034944  -0.00390712   8.26893963  -4.35768621   0.00001647   0.00000000   0.00000000   3.81625133
0.00070000   0.00267137  -1.56721575  -1.34034944  -0.00455831   8.26893963  -4.35768621   0.00002242   0.00000000   0.00000000   3.81625133
0.00080000   0.00305299  -1.56670424  -1.34034944  -0.00520950   8.26893963  -4.35768621   0.00002928   0.00000000   0.00000000   3.81625133
0.00090000   0.00343461  -1.56619273  -1.34034944  -0.00586068   8.26893963  -4.35768621   0.00003706   0.00000000   0.00000000   3.81625133
0.00100000   0.00381623  -1.56568122  -1.34034944  -0.00651187   8.26893963  -4.35768621   0.00004575   0.00000000   0.00000000   3.81625133
0.00110000   0.00419785  -1.56516971  -1.34034944  -0.00716306   8.26893963  -4.35768621   0.00005536   0.00000000   0.00000000   3.81625133
0.00120000   0.00457947  -1.56465819  -1.34034944  -0.00781424   8.26893963  -4.35768621   0.00006588   0.00000000   0.00000000   3.81625133
0.00130000   0.00496109  -1.56414668  -1.34034944  -0.00846543   8.26893963  -4.35768621   0.00007732   0.00000000   0.00000000   3.81625133
0.00140000   0.00534271  -1.56363517  -1.34034944  -0.00911662   8.26893963  -4.35768621   0.00008968   0.00000000   0.00000000   3.81625133
0.00150000   0.00572432  -1.56312366  -1.34034944  -0.00976780   8.26893963  -4.35768621   0.00010294   0.00000000   0.00000000   3.81625133
0.00160000   0.00610593  -1.56261215  -1.34034944  -0.01041899   8.26893963  -4.35768621   0.00011713   0.00000000   0.00000000   3.81625133
0.00170000   0.00648755  -1.56210064  -1.34034944  -0.01107018   8.26893963  -4.35768621   0.00013223   0.00000000   0.00000000   3.81625133
0.00180000   0.00686916  -1.56158913  -1.34034944  -0.01172137   8.26893963  -4.35768621   0.00014824   0.00000000   0.00000000   3.81625133
0.00190000   0.00725076  -1.56107762  -1.34034944  -0.01237255   8.26893963  -4.35768621   0.00016517   0.00000000   0.00000000   3.81625133
0.00200000   0.00763237  -1.56056611  -1.34034944  -0.01302374   8.26893963  -4.35768621   0.00018301   0.00000000   0.00000000   3.81625133
0.00210000   0.00801397  -1.56005460  -1.34034944  -0.01367493   8.26893963  -4.35768621   0.00020177   0.00000000   0.00000000   3.81625133
0.00220000   0.00839558  -1.55954308  -1.34034944  -0.01432611   8.26893963  -4.35768621   0.00022144   0.00000001   0.00000000   3.81625133
0.00230000   0.00877718  -1.55903157  -1.34034944  -0.01497730   8.26893963  -4.35768621   0.00024203   0.00000001   0.00000000   3.81625133
0.00240000   0.00915877  -1.55852006  -1.34034944  -0.01562849   8.26893963  -4.35768621   0.00026354   0.00000001   0.00000000   3.81625133
0.00250000   0.00954037  -1.55800855  -1.34034944  -0.01627967   8.26893963  -4.35768621   0.00028596   0.00000001   0.00000000   3.81625133
0.00260000   0.00992196  -1.55749704  -1.34034944  -0.01693086   8.26893963  -4.35768621   0.00030929   0.00000001   0.00000000   3.81625133
0.00270000   0.01030355  -1.55698553  -1.34034944  -0.01758205   8.26893963  -4.35768621   0.00033354   0.00000001   0.00000000   3.81625133
