         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.22787521   0.00000000   4.34014987  -2.57255665   0.00000000   0.00000000   0.00000000   5.29208197
0.00010000   0.00052921  -1.57014653  -1.22787521  -0.00052323   4.34014987  -2.57255665   0.00000088   0.00000000   0.00000000   5.29208197
0.00020000   0.00105842  -1.56949672  -1.22787521  -0.00104646   4.34014987  -2.57255665   0.00000352   0.00000000   0.00000000   5.29208197
0.00030000   0.00158762  -1.56884692  -1.22787521  -0.00156969   4.34014987  -2.57255665   0.00000792   0.00000000   0.00000000   5.29208197
0.00040000   0.00211683  -1.56819712  -1.22787521  -0.00209292   4.34014987  -2.57255665   0.00001408   0.00000000   0.00000000   5.29208197
0.00050000   0.00264604  -1.56754732  -1.22787521  -0.00261615   4.34014987  -2.57255665   0.00002200   0.00000000   0.00000000   5.29208197
0.00060000   0.00317524  -1.56689752  -1.22787521  -0.00313938   4.34014987  -2.57255665   0.00003167   0.00000000   0.00000000   5.29208197
0.00070000   0.00370444  -1.56624772  -1.22787521  -0.00366261   4.34014987  -2.57255665   0.00004311   0.00000000   0.00000000   5.29208197
0.00080000   0.00423365  -1.56559791  -1.22787521  -0.00418584   4.34014987  -2.57255665   0.00005631   0.00000000   0.00000000   5.29208197
0.00090000   0.00476285  -1.56494811  -1.22787521  -0.00470907   4.34014987  -2.57255665   0.00007127   0.00000000   0.00000000   5.29208197
0.00100000   0.00529204  -1.56429831  -1.22787521  -0.00523230   4.34014987  -2.57255665   0.00008798   0.00000000   0.00000000   5.29208197
0.00110000   0.00582124  -1.56364851  -1.22787521  -0.00575553   4.34014987  -2.57255665   0.00010646   0.00000000   0.00000000   5.29208197
0.00120000   0.00635043  -1.56299871  -1.22787521  -0.00627876   4.34014987  -2.57255665   0.00012670   0.00000000   0.00000000   5.29208197
0.00130000   0.00687962  -1.56234891  -1.22787521  -0.00680199   4.34014987  -2.57255665   0.00014869   0.00000000   0.00000000   5.29208197
0.00140000   0.00740881  -1.56169910  -1.22787521  -0.00732522   4.34014987  -2.57255665   0.00017245   0.00000000   0.00000000   5.29208197
0.00150000   0.00793800  -1.56104930  -1.22787521  -0.00784845   4.34014987  -2.57255665   0.00019796   0.00000000   0.00000000   5.29208197
0.00160000   0.00846718  -1.56039950  -1.22787521  -0.00837168   4.34014987  -2.57255665   0.00022524   0.00000000   0.00000000   5.29208197
0.00170000   0.00899636  -1.55974970  -1.22787521  -0.00889491   4.34014987  -2.57255665   0.00025427   0.00000001   0.00000000   5.29208197
0.00180000   0.00952553  -1.55909990  -1.22787521  -0.00941814   4.34014987  -2.57255665   0.00028506   0.00000001   0.00000000   5.29208197
0.00190000   0.01005470  -1.55845010  -1.22787521  -0.00994137   4.34014987  -2.57255665   0.00031762   0.00000001   0.00000000   5.29208197
0.00200000   0.01058387  -1.55780029  -1.22787521  -0.01046460   4.34014987  -2.57255665   0.00035193   0.00000001   0.00000000   5.29208197
0.00210000   0.01111303  -1.55715049  -1.22787521  -0.01098783   4.34014987  -2.57255665   0.00038800   0.00000001   0.00000000   5.29208197
0.00220000   0.01164218  -1.55650069  -1.22787521  -0.01151106   4.34014987  -2.57255665   0.00042583   0.00000002   0.00000000   5.29208197
0.00230000   0.01217134  -1.55585089  -1.22787521  -0.01203429   4.34014987  -2.57255665   0.00046543   0.00000002   0.00000000   5.29208197
0.00240000   0.01270048  -1.55520109  -1.22787521  -0.01255752   4.34014987  -2.57255665   0.00050678   0.00000003   0.00000000   5.29208197
0.00250000   0.01322962  -1.55455129  -1.22787521  -0.01308075   4.34014987  -2.57255665   0.00054989   0.00000003   0.00000000   5.29208197
0.00260000   0.01375876  -1.55390148  -1.22787521  -0.01360398   4.34014987  -2.57255665   0.00059476   0.00000003   0.00000000   5.29208197
0.00270000   0.01428789  -1.55325168  -1.22787521  -0.01412721   4.34014987  -2.57255665   0.00064139   0.00000004   0.00000000   5.29208197
0.00280000   0.01481701  -1.55260188  -1.22787521  -0.01465044   4.34014987  -2.57255665   0.00068977   0.00000005   0.00000000   5.29208197
0.00290000   0.01534613  -1.55195208  -1.22787521  -0.01517367   4.34014987  -2.57255665   0.00073992   0.00000005   0.00000000   5.29208197
0.00300000   0.01587524  -1.55130228  -1.22787521  -0.01569690   4.34014987  -2.57255665   0.00079183   0.00000006   0.00000000   5.29208197
0.00310000   0.01640434  -1.55065248  -1.22787521  -0.01622013   4.34014987  -2.57255665   0.00084550   0.00000007   0.00000000   5.29208197
0.00320000   0.01693344  -1.55000267  -1.22787521  -0.01674336   4.34014987  -2.57255665   0.00090092   0.00000008   0.00000000   5.29208197
0.00330000   0.01746253  -1.54935287  -1.22787521  -0.01726659   4.34014987  -2.57255665   0.00095811   0.00000009   0.00000000   5.29208197
0.00340000   0.01799161  -1.54870307  -1.22787521  -0.01778982   4.34014987  -2.57255665   0.00101705   0.00000010   0.00000000   5.29208197
0.00350000   0.01852069  -1.54805327  -1.22787521  -0.01831305   4.34014987  -2.57255665   0.00107776   0.00000011   0.00000000   5.29208197
0.00360000   0.01904976  -1.54740347  -1.22787521  -0.01883628   4.34014987  -2.57255665   0.00114022   0.00000013   0.00000000   5.29208197
0.00370000   0.01957882  -1.54675367  -1.22787521  -0.01935951   4.34014987  -2.57255665   0.00120444   0.00000014   0.00000000   5.29208197
0.00380000   0.02010787  -1.54610387  -1.22787521  -0.01988274   4.34014987  -2.57255665   0.00127042   0.00000016   0.00000000   5.29208197
0.00390000   0.02063691  -1.54545406  -1.22787521  -0.02040597   4.34014987  -2.57255665   0.00133816   0.00000018   0.00000000   5.29208197
0.00400000   0.02116594  -1.54480426  -1.22787521  -0.02092920   4.34014987  -2.57255665   0.00140766   0.00000019   0.00000000   5.29208197
0.00410000   0.02169497  -1.54415446  -1.22787521  -0.02145243   4.34014987  -2.57255665   0.00147892   0.00000021   0.00000000   5.29208197
0.00420000   0.02222399  -1.54350466  -1.22787521  -0.02197566   4.34014987  -2.57255665   0.00155194   0.00000024   0.00000000   5.29208197
0.00430000   0.02275299  -1.54285486  -1.22787521  -0.02249889   4.34014987  -2.57255665   0.00162672   0.00000026   0.00000000   5.29208197
0.00440000   0.02328199  -1.54220506  -1.22787521  -0.02302212   4.34014987  -2.57255665   0.00170325   0.00000028   0.00000000   5.29208197
0.00450000   0.02381098  -1.54155525  -1.22787521  -0.02354535   4.34014987  -2.57255665   0.00178155   0.00000031   0.00000000   5.29208197
0.00460000   0.02433995  -1.54090545  -1.22787521  -0.02406858   4.34014987  -2.57255665   0.00186160   0.00000034   0.00000000   5.29208197
0.00470000   0.02486892  -1.54025565  -1.22787521  -0.02459181   4.34014987  -2.57255665   0.00194341   0.00000037   0.00000000   5.29208197
0.00480000   0.02539787  -1.53960585  -1.22787521  -0.02511504   4.34014987  -2.57255665   0.00202698   0.00000040   0.00000000   5.29208197
0.00490000   0.02592682  -1.53895605  -1.22787521  -0.02563827   4.34014987  -2.57255665   0.00211231   0.00000044   0.00000000   5.29208197
0.00500000   0.02645575  -1.53830625  -1.22787521  -0.02616150   4.34014987  -2.57255665   0.00219940   0.00000047   0.00000000   5.29208197
0.00510000   0.02698468  -1.53765644  -1.22787521  -0.02668473   4.34014987  -2.57255665   0.00228825   0.00000051   0.00000000   5.29208197
0.00520000   0.02751359  -1.53700664  -1.22787521  -0.02720796   4.34014987  -2.57255665   0.00237886   0.00000055   0.00000000   5.29208197
0.00530000   0.02804249  -1.53635684  -1.22787521  -0.02773119   4.34014987  -2.57255665   0.00247122   0.00000060   0.00000000   5.29208197
0.00540000   0.02857138  -1.53570704  -1.22787521  -0.02825442   4.34014987  -2.57255665   0.00256535   0.00000064   0.00000000   5.29208197
0.00550000   0.02910026  -1.53505724  -1.22787521  -0.02877765   4.34014987  -2.57255665   0.00266123   0.00000069   0.00000000   5.29208197
0.00560000   0.02962912  -1.53440744  -1.22787521  -0.02930088   4.34014987  -2.57255665   0.00275887   0.00000074   0.00000000   5.29208197
0.00570000   0.03015797  -1.53375763  -1.22787521  -0.02982411   4.34014987  -2.57255665   0.00285827   0.00000080   0.00000000   5.29208197
0.00580000   0.03068681  -1.53310783  -1.22787521  -0.03034734   4.34014987  -2.57255665   0.00295943   0.00000086   0.00000000   5.29208197
0.00590000   0.03121564  -1.53245803  -1.22787521  -0.03087057   4.34014987  -2.57255665   0.00306234   0.00000092   0.00000000   5.29208197
0.00600000   0.03174445  -1.53180823  -1.22787521  -0.03139380   4.34014987  -2.57255665   0.00316702   0.00000098   0.00000000   5.29208197
0.00610000   0.03227325  -1.53115843  -1.22787521  -0.03191703   4.34014987  -2.57255665   0.00327345   0.00000105   0.00000000   5.29208197
0.00620000   0.03280203  -1.53050863  -1.22787521  -0.03244026   4.34014987  -2.57255665   0.00338164   0.00000112   0.00000000   5.29208197
0.00630000   0.03333080  -1.52985882  -1.22787521  -0.03296349   4.34014987  -2.57255665   0.00349159   0.00000119   0.00000000   5.29208197
0.00640000   0.03385956  -1.52920902  -1.22787521  -0.03348672   4.34014987  -2.57255665   0.00360330   0.00000127   0.00000000   5.29208197
0.00650000   0.03438831  -1.52855922  -1.22787521  -0.03400995   4.34014987  -2.57255665   0.00371677   0.00000135   0.00000000   5.29208197
0.00660000   0.03491703  -1.52790942  -1.22787521  -0.03453318   4.34014987  -2.57255665   0.00383199   0.00000143   0.00000000   5.29208197
0.00670000   0.03544575  -1.52725962  -1.22787521  -0.03505641   4.34014987  -2.57255665   0.00394897   0.00000152   0.00000000   5.29208197
0.00680000   0.03597445  -1.52660982  -1.22787521  -0.03557964   4.34014987  -2.57255665   0.00406771   0.00000162   0.00000000   5.29208197
0.00690000   0.03650313  -1.52596001  -1.22787521  -0.03610287   4.34014987  -2.57255665   0.00418821   0.00000171   0.00000000   5.29208197
0.00700000   0.03703180  -1.52531021  -1.22787521  -0.03662610   4.34014987  -2.57255665   0.00431047   0.00000182   0.00000000   5.29208197
0.00710000   0.03756045  -1.52466041  -1.22787521  -0.03714933   4.34014987  -2.57255665   0.00443448   0.00000192   0.00000000   5.29208197
0.00720000   0.03808909  -1.52401061  -1.22787521  -0.03767256   4.34014987  -2.57255665   0.00456025   0.00000203   0.00000000   5.29208197
0.00730000   0.03861771  -1.52336081  -1.22787521  -0.03819579   4.34014987  -2.57255665   0.00468778   0.00000215   0.00000000   5.29208197
0.00740000   0.03914632  -1.52271101  -1.22787521  -0.03871902   4.34014987  -2.57255665   0.00481707   0.00000227   0.00000000   5.29208197
0.00750000   0.03967491  -1.52206120  -1.22787521  -0.03924225   4.34014987  -2.57255665   0.00494811   0.00000239   0.00000000   5.29208197
0.00760000   0.04020348  -1.52141140  -1.22787521  -0.03976548   4.34014987  -2.57255665   0.00508091   0.00000252   0.00000000   5.29208197
0.00770000   0.04073203  -1.52076160  -1.22787521  -0.04028871   4.34014987  -2.57255665   0.00521547   0.00000266   0.00000000   5.29208197
0.00780000   0.04126057  -1.52011180  -1.22787521  -0.04081194   4.34014987  -2.57255665   0.00535179   0.00000280   0.00000000   5.29208197
0.00790000   0.04178909  -1.51946200  -1.22787521  -0.04133517   4.34014987  -2.57255665   0.00548987   0.00000294   0.00000000   5.29208197
0.00800000   0.04231759  -1.51881220  -1.22787521  -0.04185840   4.34014987  -2.57255665   0.00562970   0.00000310   0.00000000   5.29208197
0.00810000   0.04284607  -1.51816240  -1.22787521  -0.04238163   4.34014987  -2.57255665   0.00577129   0.00000325   0.00000000   5.29208197
0.00820000   0.04337454  -1.51751259  -1.22787521  -0.04290486   4.34014987  -2.57255665   0.00591463   0.00000342   0.00000000   5.29208197
0.00830000   0.04390299  -1.51686279  -1.22787521  -0.04342809   4.34014987  -2.57255665   0.00605974   0.00000359   0.00000000   5.29208197
0.00840000   0.04443142  -1.51621299  -1.22787521  -0.04395132   4.34014987  -2.57255665   0.00620660   0.00000376   0.00000000   5.29208197
0.00850000   0.04495983  -1.51556319  -1.22787521  -0.04447455   4.34014987  -2.57255665   0.00635522   0.00000394   0.00000000   5.29208197
0.00860000   0.04548822  -1.51491339  -1.22787521  -0.04499778   4.34014987  -2.57255665   0.00650559   0.00000413   0.00000000   5.29208197
0.00870000   0.04601659  -1.51426359  -1.22787521  -0.04552101   4.34014987  -2.57255665   0.00665772   0.00000433   0.00000000   5.29208197
0.00880000   0.04654495  -1.51361378  -1.22787521  -0.04604424   4.34014987  -2.57255665   0.00681161   0.00000453   0.00000000   5.29208197
0.00890000   0.04707328  -1.51296398  -1.22787521  -0.04656747   4.34014987  -2.57255665   0.00696726   0.00000474   0.00000000   5.29208197
0.00900000   0.04760159  -1.51231418  -1.22787521  -0.04709070   4.34014987  -2.57255665   0.00712466   0.00000496   0.00000000   5.29208197
0.00910000   0.04812989  -1.51166438  -1.22787521  -0.04761393   4.34014987  -2.57255665   0.00728382   0.00000518   0.00000000   5.29208197
0.00920000   0.04865816  -1.51101458  -1.22787521  -0.04813716   4.34014987  -2.57255665   0.00744474   0.00000541   0.00000000   5.29208197
0.00930000   0.04918641  -1.51036478  -1.22787521  -0.04866039   4.34014987  -2.57255665   0.00760741   0.00000565   0.00000000   5.29208197
0.00940000   0.04971464  -1.50971497  -1.22787521  -0.04918362   4.34014987  -2.57255665   0.00777184   0.00000590   0.00000000   5.29208197
0.00950000   0.05024285  -1.50906517  -1.22787521  -0.04970685   4.34014987  -2.57255665   0.00793802   0.00000615   0.00000000   5.29208197
