         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.29802261   0.00000000   7.51004410  -4.08680954   0.00000000   0.00000000   0.00000000   3.94069430
0.00010000   0.00039407  -1.57028482  -1.29802261  -0.00061071   7.51004410  -4.08680954   0.00000049   0.00000000   0.00000000   3.94069430
0.00020000   0.00078814  -1.56977330  -1.29802261  -0.00122142   7.51004410  -4.08680954   0.00000195   0.00000000   0.00000000   3.94069430
0.00030000   0.00118221  -1.56926179  -1.29802261  -0.00183213   7.51004410  -4.08680954   0.00000439   0.00000000   0.00000000   3.94069430
0.00040000   0.00157628  -1.56875028  -1.29802261  -0.00244284   7.51004410  -4.08680954   0.00000781   0.00000000   0.00000000   3.94069430
0.00050000   0.00197035  -1.56823877  -1.29802261  -0.00305354   7.51004410  -4.08680954   0.00001220   0.00000000   0.00000000   3.94069430
0.00060000   0.00236441  -1.56772726  -1.29802261  -0.00366425   7.51004410  -4.08680954   0.00001756   0.00000000   0.00000000   3.94069430
0.00070000   0.00275848  -1.56721575  -1.29802261  -0.00427496   7.51004410  -4.08680954   0.00002391   0.00000000   0.00000000   3.94069430
0.00080000   0.00315255  -1.56670424  -1.29802261  -0.00488567   7.51004410  -4.08680954   0.00003122   0.00000000   0.00000000   3.94069430
0.00090000   0.00354661  -1.56619273  -1.29802261  -0.00549638   7.51004410  -4.08680954   0.00003952   0.00000000   0.00000000   3.94069430
0.00100000   0.00394068  -1.56568122  -1.29802261  -0.00610709   7.51004410  -4.08680954   0.00004879   0.00000000   0.00000000   3.94069430
0.00110000   0.00433474  -1.56516971  -1.29802261  -0.00671780   7.51004410  -4.08680954   0.00005903   0.00000000   0.00000000   3.94069430
0.00120000   0.00472880  -1.56465819  -1.29802261  -0.00732851   7.51004410  -4.08680954   0.00007025   0.00000000   0.00000000   3.94069430
0.00130000   0.00512286  -1.56414668  -1.29802261  -0.00793921   7.51004410  -4.08680954   0.00008245   0.00000000   0.00000000   3.94069430
0.00140000   0.00551692  -1.56363517  -1.29802261  -0.00854992   7.51004410  -4.08680954   0.00009562   0.00000000   0.00000000   3.94069430
0.00150000   0.00591098  -1.56312366  -1.29802261  -0.00916063   7.51004410  -4.08680954   0.00010977   0.00000000   0.00000000   3.94069430
0.00160000   0.00630504  -1.56261215  -1.29802261  -0.00977134   7.51004410  -4.08680954   0.00012489   0.00000000   0.00000000   3.94069430
0.00170000   0.00669910  -1.56210064  -1.29802261  -0.01038205   7.51004410  -4.08680954   0.00014099   0.00000000   0.00000000   3.94069430
0.00180000   0.00709315  -1.56158913  -1.29802261  -0.01099276   7.51004410  -4.08680954   0.00015807   0.00000000   0.00000000   3.94069430
