         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.28244744   0.00000000   4.94493695  -2.80630995   0.00000000   0.00000000   0.00000000   5.06688699
0.00010000   0.00050669  -1.57014653  -1.28244744  -0.00057077   4.94493695  -2.80630995   0.00000081   0.00000000   0.00000000   5.06688699
0.00020000   0.00101338  -1.56949672  -1.28244744  -0.00114155   4.94493695  -2.80630995   0.00000323   0.00000000   0.00000000   5.06688699
0.00030000   0.00152007  -1.56884692  -1.28244744  -0.00171232   4.94493695  -2.80630995   0.00000726   0.00000000   0.00000000   5.06688699
0.00040000   0.00202675  -1.56819712  -1.28244744  -0.00228309   4.94493695  -2.80630995   0.00001290   0.00000000   0.00000000   5.06688699
0.00050000   0.00253344  -1.56754732  -1.28244744  -0.00285386   4.94493695  -2.80630995   0.00002016   0.00000000   0.00000000   5.06688699
0.00060000   0.00304012  -1.56689752  -1.28244744  -0.00342464   4.94493695  -2.80630995   0.00002904   0.00000000   0.00000000   5.06688699
0.00070000   0.00354681  -1.56624772  -1.28244744  -0.00399541   4.94493695  -2.80630995   0.00003952   0.00000000   0.00000000   5.06688699
0.00080000   0.00405349  -1.56559791  -1.28244744  -0.00456618   4.94493695  -2.80630995   0.00005162   0.00000000   0.00000000   5.06688699
0.00090000   0.00456017  -1.56494811  -1.28244744  -0.00513696   4.94493695  -2.80630995   0.00006533   0.00000000   0.00000000   5.06688699
0.00100000   0.00506685  -1.56429831  -1.28244744  -0.00570773   4.94493695  -2.80630995   0.00008065   0.00000000   0.00000000   5.06688699
0.00110000   0.00557353  -1.56364851  -1.28244744  -0.00627850   4.94493695  -2.80630995   0.00009759   0.00000000   0.00000000   5.06688699
0.00120000   0.00608020  -1.56299871  -1.28244744  -0.00684928   4.94493695  -2.80630995   0.00011614   0.00000000   0.00000000   5.06688699
0.00130000   0.00658687  -1.56234891  -1.28244744  -0.00742005   4.94493695  -2.80630995   0.00013631   0.00000000   0.00000000   5.06688699
0.00140000   0.00709354  -1.56169910  -1.28244744  -0.00799082   4.94493695  -2.80630995   0.00015808   0.00000000   0.00000000   5.06688699
0.00150000   0.00760021  -1.56104930  -1.28244744  -0.00856159   4.94493695  -2.80630995   0.00018147   0.00000000   0.00000000   5.06688699
0.00160000   0.00810687  -1.56039950  -1.28244744  -0.00913237   4.94493695  -2.80630995   0.00020648   0.00000000   0.00000000   5.06688699
0.00170000   0.00861353  -1.55974970  -1.28244744  -0.00970314   4.94493695  -2.80630995   0.00023309   0.00000001   0.00000000   5.06688699
0.00180000   0.00912019  -1.55909990  -1.28244744  -0.01027391   4.94493695  -2.80630995   0.00026132   0.00000001   0.00000000   5.06688699
0.00190000   0.00962684  -1.55845010  -1.28244744  -0.01084469   4.94493695  -2.80630995   0.00029116   0.00000001   0.00000000   5.06688699
0.00200000   0.01013349  -1.55780029  -1.28244744  -0.01141546   4.94493695  -2.80630995   0.00032262   0.00000001   0.00000000   5.06688699
0.00210000   0.01064013  -1.55715049  -1.28244744  -0.01198623   4.94493695  -2.80630995   0.00035568   0.00000001   0.00000000   5.06688699
0.00220000   0.01114677  -1.55650069  -1.28244744  -0.01255700   4.94493695  -2.80630995   0.00039036   0.00000002   0.00000000   5.06688699
0.00230000   0.01165341  -1.55585089  -1.28244744  -0.01312778   4.94493695  -2.80630995   0.00042666   0.00000002   0.00000000   5.06688699
0.00240000   0.01216004  -1.55520109  -1.28244744  -0.01369855   4.94493695  -2.80630995   0.00046456   0.00000002   0.00000000   5.06688699
0.00250000   0.01266666  -1.55455129  -1.28244744  -0.01426932   4.94493695  -2.80630995   0.00050408   0.00000003   0.00000000   5.06688699
0.00260000   0.01317328  -1.55390148  -1.28244744  -0.01484010   4.94493695  -2.80630995   0.00054522   0.00000003   0.00000000   5.06688699
0.00270000   0.01367989  -1.55325168  -1.28244744  -0.01541087   4.94493695  -2.80630995   0.00058796   0.00000004   0.00000000   5.06688699
0.00280000   0.01418650  -1.55260188  -1.28244744  -0.01598164   4.94493695  -2.80630995   0.00063232   0.00000004   0.00000000   5.06688699
0.00290000   0.01469310  -1.55195208  -1.28244744  -0.01655241   4.94493695  -2.80630995   0.00067829   0.00000005   0.00000000   5.06688699
0.00300000   0.01519970  -1.55130228  -1.28244744  -0.01712319   4.94493695  -2.80630995   0.00072587   0.00000005   0.00000000   5.06688699
0.00310000   0.01570629  -1.55065248  -1.28244744  -0.01769396   4.94493695  -2.80630995   0.00077507   0.00000006   0.00000000   5.06688699
0.00320000   0.01621287  -1.55000267  -1.28244744  -0.01826473   4.94493695  -2.80630995   0.00082588   0.00000007   0.00000000   5.06688699
0.00330000   0.01671945  -1.54935287  -1.28244744  -0.01883551   4.94493695  -2.80630995   0.00087830   0.00000008   0.00000000   5.06688699
0.00340000   0.01722601  -1.54870307  -1.28244744  -0.01940628   4.94493695  -2.80630995   0.00093234   0.00000009   0.00000000   5.06688699
