         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.12883785  -0.00000000   3.95179374  -2.35043985   0.00000000   0.00000000   0.00000000   7.58885316
0.00010000   0.00075889  -1.56993967  -1.12883785  -0.00051405   3.95179374  -2.35043985   0.00000181   0.00000000   0.00000000   7.58885316
0.00020000   0.00151777  -1.56908301  -1.12883785  -0.00102809   3.95179374  -2.35043985   0.00000724   0.00000000   0.00000000   7.58885316
0.00030000   0.00227665  -1.56822635  -1.12883785  -0.00154214   3.95179374  -2.35043985   0.00001628   0.00000000   0.00000000   7.58885316
0.00040000   0.00303554  -1.56736969  -1.12883785  -0.00205618   3.95179374  -2.35043985   0.00002895   0.00000000   0.00000000   7.58885316
0.00050000   0.00379441  -1.56651303  -1.12883785  -0.00257023   3.95179374  -2.35043985   0.00004523   0.00000000   0.00000000   7.58885316
0.00060000   0.00455329  -1.56565638  -1.12883785  -0.00308427   3.95179374  -2.35043985   0.00006513   0.00000000   0.00000000   7.58885316
0.00070000   0.00531217  -1.56479972  -1.12883785  -0.00359832   3.95179374  -2.35043985   0.00008865   0.00000000   0.00000000   7.58885316
0.00080000   0.00607104  -1.56394306  -1.12883785  -0.00411236   3.95179374  -2.35043985   0.00011579   0.00000000   0.00000000   7.58885316
0.00090000   0.00682990  -1.56308640  -1.12883785  -0.00462641   3.95179374  -2.35043985   0.00014655   0.00000000   0.00000000   7.58885316
0.00100000   0.00758876  -1.56222974  -1.12883785  -0.00514045   3.95179374  -2.35043985   0.00018093   0.00000000   0.00000000   7.58885316
0.00110000   0.00834761  -1.56137308  -1.12883785  -0.00565450   3.95179374  -2.35043985   0.00021892   0.00000000   0.00000000   7.58885316
0.00120000   0.00910646  -1.56051643  -1.12883785  -0.00616854   3.95179374  -2.35043985   0.00026053   0.00000001   0.00000000   7.58885316
0.00130000   0.00986531  -1.55965977  -1.12883785  -0.00668259   3.95179374  -2.35043985   0.00030576   0.00000001   0.00000000   7.58885316
0.00140000   0.01062414  -1.55880311  -1.12883785  -0.00719663   3.95179374  -2.35043985   0.00035461   0.00000001   0.00000000   7.58885316
