         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.17775785   0.00000000   3.83009953  -2.36683784   0.00000000   0.00000000   0.00000000   5.51727695
0.00010000   0.00055173  -1.57014653  -1.17775785  -0.00048139   3.83009953  -2.36683784   0.00000096   0.00000000   0.00000000   5.51727695
0.00020000   0.00110346  -1.56949672  -1.17775785  -0.00096278   3.83009953  -2.36683784   0.00000383   0.00000000   0.00000000   5.51727695
0.00030000   0.00165518  -1.56884692  -1.17775785  -0.00144417   3.83009953  -2.36683784   0.00000861   0.00000000   0.00000000   5.51727695
0.00040000   0.00220691  -1.56819712  -1.17775785  -0.00192556   3.83009953  -2.36683784   0.00001530   0.00000000   0.00000000   5.51727695
0.00050000   0.00275863  -1.56754732  -1.17775785  -0.00240695   3.83009953  -2.36683784   0.00002391   0.00000000   0.00000000   5.51727695
0.00060000   0.00331036  -1.56689752  -1.17775785  -0.00288833   3.83009953  -2.36683784   0.00003443   0.00000000   0.00000000   5.51727695
0.00070000   0.00386208  -1.56624772  -1.17775785  -0.00336972   3.83009953  -2.36683784   0.00004686   0.00000000   0.00000000   5.51727695
0.00080000   0.00441380  -1.56559791  -1.17775785  -0.00385111   3.83009953  -2.36683784   0.00006120   0.00000000   0.00000000   5.51727695
0.00090000   0.00496552  -1.56494811  -1.17775785  -0.00433250   3.83009953  -2.36683784   0.00007746   0.00000000   0.00000000   5.51727695
0.00100000   0.00551724  -1.56429831  -1.17775785  -0.00481389   3.83009953  -2.36683784   0.00009563   0.00000000   0.00000000   5.51727695
0.00110000   0.00606895  -1.56364851  -1.17775785  -0.00529528   3.83009953  -2.36683784   0.00011571   0.00000000   0.00000000   5.51727695
0.00120000   0.00662067  -1.56299871  -1.17775785  -0.00577667   3.83009953  -2.36683784   0.00013771   0.00000000   0.00000000   5.51727695
0.00130000   0.00717237  -1.56234891  -1.17775785  -0.00625806   3.83009953  -2.36683784   0.00016162   0.00000000   0.00000000   5.51727695
0.00140000   0.00772408  -1.56169910  -1.17775785  -0.00673945   3.83009953  -2.36683784   0.00018744   0.00000000   0.00000000   5.51727695
0.00150000   0.00827578  -1.56104930  -1.17775785  -0.00722084   3.83009953  -2.36683784   0.00021517   0.00000000   0.00000000   5.51727695
0.00160000   0.00882748  -1.56039950  -1.17775785  -0.00770223   3.83009953  -2.36683784   0.00024481   0.00000001   0.00000000   5.51727695
0.00170000   0.00937918  -1.55974970  -1.17775785  -0.00818361   3.83009953  -2.36683784   0.00027637   0.00000001   0.00000000   5.51727695
0.00180000   0.00993087  -1.55909990  -1.17775785  -0.00866500   3.83009953  -2.36683784   0.00030984   0.00000001   0.00000000   5.51727695
0.00190000   0.01048256  -1.55845010  -1.17775785  -0.00914639   3.83009953  -2.36683784   0.00034522   0.00000001   0.00000000   5.51727695
0.00200000   0.01103424  -1.55780029  -1.17775785  -0.00962778   3.83009953  -2.36683784   0.00038252   0.00000001   0.00000000   5.51727695
0.00210000   0.01158592  -1.55715049  -1.17775785  -0.01010917   3.83009953  -2.36683784   0.00042173   0.00000002   0.00000000   5.51727695
