         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.24172164  -0.00000000   5.25983746  -2.84403222   0.00000000   0.00000000   0.00000000   6.89895742
0.00010000   0.00068990  -1.56993967  -1.24172164  -0.00062199   5.25983746  -2.84403222   0.00000150   0.00000000   0.00000000   6.89895742
0.00020000   0.00137979  -1.56908301  -1.24172164  -0.00124399   5.25983746  -2.84403222   0.00000598   0.00000000   0.00000000   6.89895742
0.00030000   0.00206968  -1.56822635  -1.24172164  -0.00186598   5.25983746  -2.84403222   0.00001346   0.00000000   0.00000000   6.89895742
0.00040000   0.00275958  -1.56736969  -1.24172164  -0.00248798   5.25983746  -2.84403222   0.00002392   0.00000000   0.00000000   6.89895742
0.00050000   0.00344947  -1.56651303  -1.24172164  -0.00310997   5.25983746  -2.84403222   0.00003738   0.00000000   0.00000000   6.89895742
0.00060000   0.00413936  -1.56565638  -1.24172164  -0.00373197   5.25983746  -2.84403222   0.00005383   0.00000000   0.00000000   6.89895742
0.00070000   0.00482924  -1.56479972  -1.24172164  -0.00435396   5.25983746  -2.84403222   0.00007327   0.00000000   0.00000000   6.89895742
0.00080000   0.00551912  -1.56394306  -1.24172164  -0.00497596   5.25983746  -2.84403222   0.00009570   0.00000000   0.00000000   6.89895742
0.00090000   0.00620900  -1.56308640  -1.24172164  -0.00559795   5.25983746  -2.84403222   0.00012112   0.00000000   0.00000000   6.89895742
0.00100000   0.00689887  -1.56222974  -1.24172164  -0.00621995   5.25983746  -2.84403222   0.00014953   0.00000000   0.00000000   6.89895742
0.00110000   0.00758874  -1.56137308  -1.24172164  -0.00684194   5.25983746  -2.84403222   0.00018093   0.00000000   0.00000000   6.89895742
0.00120000   0.00827860  -1.56051643  -1.24172164  -0.00746393   5.25983746  -2.84403222   0.00021532   0.00000000   0.00000000   6.89895742
0.00130000   0.00896846  -1.55965977  -1.24172164  -0.00808593   5.25983746  -2.84403222   0.00025270   0.00000001   0.00000000   6.89895742
0.00140000   0.00965831  -1.55880311  -1.24172164  -0.00870792   5.25983746  -2.84403222   0.00029307   0.00000001   0.00000000   6.89895742
0.00150000   0.01034815  -1.55794645  -1.24172164  -0.00932992   5.25983746  -2.84403222   0.00033643   0.00000001   0.00000000   6.89895742
0.00160000   0.01103799  -1.55708979  -1.24172164  -0.00995191   5.25983746  -2.84403222   0.00038278   0.00000001   0.00000000   6.89895742
0.00170000   0.01172781  -1.55623313  -1.24172164  -0.01057391   5.25983746  -2.84403222   0.00043212   0.00000002   0.00000000   6.89895742
0.00180000   0.01241763  -1.55537647  -1.24172164  -0.01119590   5.25983746  -2.84403222   0.00048445   0.00000002   0.00000000   6.89895742
0.00190000   0.01310744  -1.55451982  -1.24172164  -0.01181790   5.25983746  -2.84403222   0.00053978   0.00000003   0.00000000   6.89895742
0.00200000   0.01379724  -1.55366316  -1.24172164  -0.01243989   5.25983746  -2.84403222   0.00059809   0.00000004   0.00000000   6.89895742
0.00210000   0.01448703  -1.55280650  -1.24172164  -0.01306189   5.25983746  -2.84403222   0.00065939   0.00000004   0.00000000   6.89895742
0.00220000   0.01517681  -1.55194984  -1.24172164  -0.01368388   5.25983746  -2.84403222   0.00072368   0.00000005   0.00000000   6.89895742
0.00230000   0.01586658  -1.55109318  -1.24172164  -0.01430587   5.25983746  -2.84403222   0.00079097   0.00000006   0.00000000   6.89895742
0.00240000   0.01655633  -1.55023652  -1.24172164  -0.01492787   5.25983746  -2.84403222   0.00086124   0.00000007   0.00000000   6.89895742
0.00250000   0.01724608  -1.54937987  -1.24172164  -0.01554986   5.25983746  -2.84403222   0.00093450   0.00000009   0.00000000   6.89895742
0.00260000   0.01793581  -1.54852321  -1.24172164  -0.01617186   5.25983746  -2.84403222   0.00101075   0.00000010   0.00000000   6.89895742
0.00270000   0.01862552  -1.54766655  -1.24172164  -0.01679385   5.25983746  -2.84403222   0.00109000   0.00000012   0.00000000   6.89895742
0.00280000   0.01931523  -1.54680989  -1.24172164  -0.01741585   5.25983746  -2.84403222   0.00117223   0.00000014   0.00000000   6.89895742
0.00290000   0.02000492  -1.54595323  -1.24172164  -0.01803784   5.25983746  -2.84403222   0.00125745   0.00000016   0.00000000   6.89895742
0.00300000   0.02069459  -1.54509657  -1.24172164  -0.01865984   5.25983746  -2.84403222   0.00134566   0.00000018   0.00000000   6.89895742
0.00310000   0.02138425  -1.54423991  -1.24172164  -0.01928183   5.25983746  -2.84403222   0.00143686   0.00000020   0.00000000   6.89895742
0.00320000   0.02207390  -1.54338326  -1.24172164  -0.01990383   5.25983746  -2.84403222   0.00153105   0.00000023   0.00000000   6.89895742
